,Request Id,request_e2e_time_normalized,cdf
1,5,0.051427674833477884,0.00048756704046806434
1799,1823,0.053592774829076005,0.0009751340809361287
939,961,0.056766884708874546,0.0014627011214041932
294,319,0.05698658345705641,0.0019502681618722574
929,948,0.058610712741722096,0.0024378352023403218
1796,1822,0.05882690419846921,0.0029254022428083864
300,318,0.06429892756780665,0.0034129692832764505
1880,1927,0.06486282865075736,0.0039005363237445147
0,3,0.0660701459258093,0.004388103364212579
584,642,0.06709498610357204,0.0048756704046806435
927,944,0.06917165953838973,0.005363237445148708
1811,1831,0.07049545656981517,0.005850804485616773
932,942,0.07127586833500901,0.006338371526084837
2020,2049,0.07171262075343521,0.006825938566552901
1751,1778,0.07388072318795968,0.007313505607020965
938,957,0.07401382375065219,0.0078010726474890294
930,938,0.07461900360697725,0.008288639687957094
919,946,0.0746641032742657,0.008776206728425159
171,197,0.07544983952187745,0.009263773768893223
933,949,0.07635637377359127,0.009751340809361287
788,825,0.07660696283256396,0.010238907849829351
821,849,0.07760589910343518,0.010726474890297415
1713,1742,0.07771383001040354,0.01121404193076548
1812,1820,0.07785187198066569,0.011701608971233545
2021,2048,0.07805020702997774,0.01218917601170161
1881,1926,0.07880827210765852,0.012676743052169674
1807,1821,0.07897035574944877,0.013164310092637738
924,934,0.07924174162522601,0.013651877133105802
926,935,0.07928347055707469,0.014139444173573866
2023,2046,0.07974067172710306,0.01462701121404193
296,315,0.08012926542899405,0.015114578254509995
758,791,0.08022936290330658,0.015602145294978059
1821,1832,0.0804619044424263,0.016089712335446125
1806,1827,0.08058621370608231,0.01657727937591419
308,317,0.08082041135661287,0.017064846416382253
299,306,0.08098718155942637,0.017552413456850317
397,440,0.08130329128482572,0.01803998049731838
1354,1394,0.08137397129790301,0.018527547537786446
1967,2003,0.08150016759449627,0.01901511457825451
918,941,0.08187097166337795,0.019502681618722574
324,350,0.08194963524644039,0.019990248659190638
905,937,0.08198653777865864,0.020477815699658702
1820,1817,0.08201289796639326,0.020965382740126767
1813,1830,0.0821055199238496,0.02145294978059483
1822,1837,0.08211534198102684,0.021940516821062895
