,Time (sec),request_completion
0,20.04588712938857,1
1,20.564752746385352,2
2,20.564752746385352,3
3,21.65012603073362,4
4,25.87496957577382,5
5,42.649096699473404,6
6,43.33477063254409,7
7,46.70180352037132,8
8,48.00480060479717,9
9,48.00480060479717,10
10,48.95350207886824,11
11,48.99324318259997,12
12,56.00602266116783,13
13,58.368776375500055,14
14,64.37946859844307,15
15,64.961505776637,16
16,64.97391199007747,17
17,65.79574960761192,18
18,65.79574960761192,19
19,65.8216208579032,20
20,66.94456129222878,21
21,69.03960592378283,22
22,69.20971540873994,23
23,69.27534083495951,24
24,69.3550124668161,25
25,69.67071564984946,26
26,69.68318078328993,27
27,69.72286468702166,28
28,69.82636020136604,29
29,74.24987685504509,30
30,77.62688919910677,31
31,77.652054979008,32
32,78.40348967065235,33
33,78.41629756409282,34
34,79.13683410716095,35
35,83.11322665750458,36
36,83.11322665750458,37
37,85.42020602506804,38
38,85.97970948091603,39
39,86.0066292912073,40
40,87.12977894489991,41
41,87.69377756587883,42
42,87.70687180272964,43
43,88.38153682785315,44
44,88.40740867034098,45
45,89.57357207205969,46
46,90.25845302058714,47
47,90.28445116746808,48
48,90.28445116746808,49
49,90.79571261409474,50
50,91.67152937308938,51
51,92.7638627946848,52
52,92.80370637841654,53
53,93.5111889192279,54
54,94.52743087989168,55
55,94.52743087989168,56
56,95.63577682356112,57
57,96.53896645627799,58
58,96.55201051752191,59
59,96.5783496400097,60
60,97.59854778479882,61
61,98.58444873191932,62
62,98.59749279316324,63
63,99.62404956265608,64
64,99.62404956265608,65
65,100.40689888064477,66
66,100.43436729093605,67
67,101.30496256925652,68
68,102.23694540568029,69
69,102.27653371819828,70
70,103.26790875249242,71
71,103.82326141620979,72
72,103.86214387994154,73
73,103.86214387994154,74
74,105.02148869239933,75
75,105.04788395928027,76
76,106.73195605253812,77
77,108.00752254048277,78
78,108.6930541077113,79
79,108.70607828115178,80
80,109.46684408339446,81
81,110.59787935732352,82
82,111.50794788374272,83
83,112.4426689648134,84
84,113.69387335248447,85
85,114.73433161550236,86
86,115.27910298550837,87
87,115.27910298550837,88
88,116.67151046978604,89
89,117.54694473473526,90
90,118.29524798750234,91
91,118.46027036892431,92
92,118.47324434236478,93
93,119.67941174169555,94
94,120.72799823660964,95
95,120.72799823660964,96
96,121.4699713069929,97
97,121.48313568043338,98
98,122.58420921091638,99
99,122.87779662128042,100
100,124.00503718024767,101
101,125.10285952953669,102
102,125.70343552858,103
103,126.28368422574546,104
104,126.2986437991859,105
105,127.3528224420805,106
106,127.3528224420805,107
107,127.38096369237174,108
108,128.11532630180085,109
109,128.84056049971903,110
110,129.55280633030642,111
111,129.55280633030642,112
112,129.57833895718736,113
113,130.47866183793863,114
114,130.5169393016704,115
115,131.77753587345597,116
116,132.46860716763194,117
117,133.37358666936888,118
118,133.38751264280938,119
119,134.62174093582547,120
120,135.1380223771254,121
121,135.90867204221453,122
122,136.74544721807564,123
123,137.1984953840173,124
124,137.21110783745777,125
125,138.34433497851748,126
126,139.41594873743142,127
127,139.41594873743142,128
128,139.44343798772263,129
129,140.98041573585007,130
130,140.99340959709397,131
131,140.99340959709397,132
132,142.48711285887563,133
133,142.5263558670005,134
134,143.69035296036097,135
135,144.4266492847616,136
136,144.4266492847616,137
137,145.65333200086133,138
138,146.55657936725814,139
139,147.29218023222003,140
140,148.2687933535452,141
141,148.2687933535452,142
142,149.57421307818944,143
143,149.61396138192117,144
144,150.94968993106158,145
145,151.98302300970903,146
146,152.99015805688597,147
147,153.01784274717718,148
148,154.10178625910575,149
149,154.53558367401186,150
150,154.54819612745234,151
151,154.575133825547,152
152,155.92108141089864,153
153,156.72728536828947,154
154,156.76681563202118,155
155,156.76681563202118,156
156,156.76681563202118,157
157,158.7430946113574,158
158,158.75615856040474,159
159,159.8062182444265,160
160,160.43920942564478,161
161,160.90714925513922,162
162,160.93414259323387,163
163,162.12643843681917,164
164,162.43125350422233,165
165,163.17072989118103,166
166,163.70384269638566,167
167,163.70384269638566,168
168,163.71672067762958,169
169,164.70443120433808,170
170,165.124954538616,171
171,165.124954538616,172
172,166.08127755260483,173
173,167.08931193825865,174
174,167.83245257864698,175
175,167.83245257864698,176
176,168.81439876747345,177
177,169.3999887452085,178
178,169.3999887452085,179
179,169.41465979864893,180
180,170.60240867450537,181
181,171.51024490528482,182
182,171.54789709682,183
183,172.77649257661068,184
184,172.78910503005116,185
185,172.78910503005116,186
186,172.8140816969321,187
187,174.10020719041722,188
188,175.05958427853986,189
189,176.14460363216324,190
190,176.14460363216324,191
191,176.1721720424545,192
192,177.46927370875176,193
193,177.81550968691974,194
194,178.35090225159928,195
195,179.4391852502451,196
196,179.9541814626658,197
197,181.03542749833534,198
198,181.9005830793271,199
199,183.33651244164383,200
200,183.3747812897686,201
201,184.52905271353595,202
202,185.26460337849784,203
203,186.20431329233557,204
204,186.21687194577603,205
205,187.0944742478761,206
206,187.78896774162806,207
207,188.27982965245405,208
208,188.27982965245405,209
209,188.29244210589454,210
210,189.45434575881947,211
211,190.32092737682711,212
212,191.09914262321232,213
213,191.95247493377926,214
214,193.03885309569483,215
215,193.0533819325456,216
216,193.0533819325456,217
217,194.00646672058127,218
218,195.00102985832314,219
219,195.47385546370222,220
220,195.4860353571427,221
221,196.39513431618713,222
222,197.2221461026837,223
223,197.9910300899454,224
224,198.00325078338588,225
225,199.08183682545518,226
226,200.14951238716304,227
227,200.8929041553548,228
228,201.5708456262547,229
229,202.36713313694563,230
230,203.02950800778902,231
231,203.7779986639431,232
232,203.80633327423433,233
233,204.59234104526885,234
234,204.59234104526885,235
235,204.59234104526885,236
236,204.6204812155601,237
237,206.27128120022007,238
238,207.31280964171742,239
239,207.54966764989297,240
240,207.56283202333344,241
241,208.36729731077784,242
242,209.13097006405926,243
243,209.9087942382479,244
244,209.9214066916884,245
245,210.9682775186705,246
246,210.980889972111,247
247,212.0382669828239,248
248,212.64687372195127,249
249,212.66104159880206,250
250,213.72086404766998,251
251,213.74595797015786,252
252,214.7106714006461,253
253,215.30956419182166,254
254,215.3468381521431,255
255,216.46050959676822,256
256,216.46050959676822,257
257,217.8117230322411,258
258,217.82390292568158,259
259,219.02660815452103,260
260,219.05233570920544,261
261,219.0645156026459,262
262,220.45763795969512,263
263,220.47062491654592,264
264,221.64129319482973,265
265,222.6423202220818,266
266,222.8329572848924,267
267,222.8329572848924,268
268,222.85791387177335,269
269,223.5379366303712,270
270,223.5379366303712,271
271,223.5507445238117,272
272,224.61698997866242,273
273,225.6958730368721,274
274,226.77012383643816,275
275,226.78253004987863,276
276,226.78253004987863,277
277,228.38271993922513,278
278,229.32123693980645,279
279,230.33456911004797,280
280,230.73809811862873,281
281,231.75598632496357,282
282,231.79489714869536,283
283,232.9355775420464,284
284,233.5950191165632,285
285,234.47786942955545,286
286,234.94298989674104,287
287,235.52487885250457,288
288,235.82147023756804,289
289,235.83424693100852,290
290,237.04165921825734,291
291,237.08079636198912,292
292,238.16407046623294,293
293,239.11435503143403,294
294,240.0492451110322,295
295,240.92405331257112,296
296,240.94879185945206,297
297,242.28323268971306,298
298,242.28323268971306,299
299,243.41097994350426,300
300,244.0986429107348,301
301,244.13747229446656,302
302,245.34344836095386,303
303,245.83084397456633,304
304,246.80506681049457,305
305,246.8321488607858,306
306,247.53924338811137,307
307,247.53924338811137,308
308,248.29880932067127,309
309,248.31136797411173,310
310,249.50335277947042,311
311,250.4193467865849,312
312,250.79923385044822,313
313,251.7070048595147,314
314,252.44652081339507,315
315,253.46725984923168,316
316,254.63997095905614,317
317,254.6781916149845,318
318,255.5085606477539,319
319,255.53332211463487,320
320,256.21432829904063,321
321,256.85452418244853,322
322,257.92182177257615,323
323,257.9612788363078,324
324,257.9612788363078,325
325,259.8430195657325,326
326,260.31018679522697,327
327,260.3369372533216,328
328,261.6338885683766,329
329,262.83867544430205,330
330,263.5996111890656,331
331,264.35746166806206,332
332,264.36951072150254,333
333,264.39613449959717,334
334,264.39613449959717,335
335,264.39613449959717,336
336,265.00888812711474,337
337,266.3539058468987,338
338,267.37658479187655,339
339,267.37658479187655,340
340,267.37658479187655,341
341,268.5133253986859,342
342,269.27852401302573,343
343,269.9646621954418,344
344,270.10335741098936,345
345,270.5411473196323,346
346,271.54057180234764,347
347,271.54057180234764,348
348,271.5531842557881,349
349,271.5658115326389,350
350,273.19719822347207,351
351,274.32141534118693,352
352,275.28750969180373,353
353,275.29973038524423,354
354,275.9939605761023,355
355,276.0067684695428,356
356,277.3625118779147,357
357,277.4009979582361,358
358,278.4254669123986,359
359,278.4508872592795,360
360,279.2596903251661,361
361,280.11509430166745,362
362,280.129678979501,363
363,280.97616276877244,364
364,281.0016852668672,365
365,281.01386516030766,366
366,282.17763628437007,367
367,283.4080135549799,368
368,283.8228830352294,369
369,283.8602031555508,370
370,285.24322837368993,371
371,286.36122367001235,372
372,286.36122367001235,373
373,287.3098971210945,374
374,287.3098971210945,375
375,288.6210555186932,376
376,288.65958817462143,377
377,289.9923981771592,378
378,290.97429758325893,379
379,292.2540687762113,380
380,293.3125001156509,381
381,293.7573604926976,382
382,295.0520518524636,383
383,296.0276083328193,384
384,296.6141233167556,385
385,297.2799345860164,386
386,298.3591027083351,387
387,298.9534505043183,388
388,299.6001347593004,389
389,299.6396284630322,390
390,300.8525423518834,391
391,300.8645914053239,392
392,300.8905350956151,393
393,301.99874458401206,394
394,302.0390667677438,395
395,303.1303106416531,396
396,304.0460011019879,397
397,304.0460011019879,398
398,304.05916547542836,399
399,305.13605258484927,400
400,305.8967687788604,401
401,306.68454952513156,402
402,307.77128185131147,403
403,307.8107809150432,404
404,308.554901276423,405
405,309.3034000104322,406
406,310.29920774651396,407
407,310.32515569339495,408
408,311.46290837914614,409
409,312.4229849147653,410
410,313.33678189244876,411
411,313.33678189244876,412
412,313.3497558658892,413
413,314.638412417304,414
414,315.10682322119254,415
415,315.119797194633,416
416,316.1246974468219,417
417,316.15238651370294,418
418,317.0795216783447,419
419,317.83975965307667,420
420,318.28489303141464,421
421,318.9143787033113,422
422,318.9143787033113,423
423,318.9274028767518,424
424,319.8847597886027,425
425,320.6583407312777,426
426,320.68601378156893,427
427,321.46672152090036,428
428,321.9264106424745,429
429,322.9537492813143,430
430,323.92391898847865,431
431,323.94991937535957,432
432,325.0487442710481,433
433,325.0487442710481,434
434,325.8557763343708,435
435,325.8557763343708,436
436,325.8961046781026,437
437,327.01291785974655,438
438,327.0374862466275,439
439,328.14499046399857,440
440,328.88040856404615,441
441,329.6779677291238,442
442,329.6779677291238,443
443,329.6922703425645,444
444,330.6513503853957,445
445,331.9048319724247,446
446,332.46959967741634,447
447,332.508067541148,448
448,333.20440061995356,449
449,333.3497083354121,450
450,334.30550410257433,451
451,335.0371137696344,452
452,336.03957437495933,453
453,336.0511669883998,454
454,337.1400020269366,455
455,337.16791027722786,456
456,338.24450126281056,457
457,338.906685733654,458
458,339.3181245178385,459
459,339.3181245178385,460
460,340.7568034872419,461
461,341.5633344894566,462
462,341.5758931428971,463
463,341.6017346575815,464
464,342.69383095276515,465
465,343.9417953867911,466
466,344.22202737516193,467
467,345.0333708903953,468
468,345.74218091599005,469
469,345.7792240597218,470
470,346.99415463201973,471
471,346.99415463201973,472
472,348.02390627173537,473
473,349.26314222189745,474
474,350.1657579265479,475
475,351.06155835996026,476
476,351.4870814154662,477
477,351.4989074289067,478
478,352.69283261181454,479
479,353.39148995159087,480
480,353.9302401188174,481
481,353.9420318122579,482
482,355.3383271555489,483
483,355.3383271555489,484
484,356.48438091198244,485
485,357.52261492713393,486
486,358.1294360895667,487
487,358.1294360895667,488
488,358.9572633716101,489
489,359.58164930954047,490
490,360.23021985685676,491
491,360.4895883963876,492
492,360.7310301691802,493
