,Request Id,request_execution_time,cdf
628,751,0.7220418382327529,0.00036443148688046647
10,131,1.2593906507007355,0.0007288629737609329
54,168,1.2624018267054165,0.0010932944606413995
530,642,1.296113922203684,0.0014577259475218659
1999,2120,1.4345464950529434,0.0018221574344023323
2163,2277,1.4913406524782609,0.002186588921282799
283,398,1.6406626265820983,0.002551020408163265
765,888,1.650176584546841,0.0029154518950437317
50,154,1.7632226582399275,0.0032798833819241984
1746,1866,1.7822180446567581,0.0036443148688046646
1085,1200,1.8034111120758456,0.004008746355685131
1276,1394,1.98691479096897,0.004373177842565598
700,809,2.0069170605075133,0.0047376093294460644
694,801,2.050581645150726,0.00510204081632653
457,569,2.1092170296706456,0.005466472303206997
1737,1849,2.148056042348085,0.0058309037900874635
453,560,2.1487006720542787,0.00619533527696793
369,472,2.163483015647051,0.006559766763848397
2478,2583,2.2656844263309717,0.006924198250728863
847,955,2.291171655980901,0.007288629737609329
2260,2364,2.2993913748132804,0.007653061224489796
1980,2077,2.299609572254335,0.008017492711370262
515,627,2.3135420435296217,0.008381924198250729
1714,1823,2.3363205992121414,0.008746355685131196
1981,2087,2.336743590683673,0.009110787172011662
1791,1888,2.370235115933085,0.009475218658892129
577,675,2.372719547502955,0.009839650145772596
2541,2651,2.388726810723245,0.01020408163265306
737,845,2.3953691547879425,0.010568513119533527
1671,1779,2.409659972819536,0.010932944606413994
1805,1905,2.409739541878474,0.01129737609329446
261,357,2.4832694356023874,0.011661807580174927
2139,2232,2.4877505138126166,0.012026239067055394
2264,2371,2.495782553837479,0.01239067055393586
837,939,2.521947098879733,0.012755102040816327
2361,2469,2.530119774591968,0.013119533527696793
1907,2014,2.5492090493907575,0.01348396501457726
2616,2719,2.559092484765965,0.013848396501457727
2656,2765,2.6004901792964152,0.014212827988338192
0,25,2.609119995145449,0.014577259475218658
1819,1927,2.6131225749792253,0.014941690962099125
2680,2784,2.633106858320111,0.015306122448979591
2652,2759,2.641488503102877,0.01567055393586006
252,350,2.642474693586059,0.016034985422740525
1426,1529,2.6446028693208476,0.01639941690962099
2507,2622,2.647418452618618,0.016763848396501458
1281,1397,2.6475887072373334,0.017128279883381923
581,684,2.6713217556949003,0.01749271137026239
2686,2791,2.6916061247412277,0.017857142857142856
2644,2750,2.7048842328671023,0.018221574344023325
1811,1916,2.7094108955199903,0.01858600583090379
2465,2567,2.7288969800904757,0.018950437317784258
1628,1738,2.737831644625597,0.019314868804664723
2450,2559,2.7379510694168125,0.01967930029154519
1960,2071,2.7601524483280033,0.020043731778425656
2,65,2.7885417529860876,0.02040816326530612
2091,2210,2.7919398149977686,0.02077259475218659
1056,1158,2.7963355872879885,0.021137026239067054
1313,1416,2.7972440605641884,0.021501457725947522
2698,2807,2.825171814997762,0.021865889212827987
2671,2776,2.8319507177413192,0.022230320699708456
2154,2255,2.8401817882414138,0.02259475218658892
366,461,2.8407568495947633,0.02295918367346939
966,1078,2.8560918678699783,0.023323615160349854
1122,1235,2.856725389055046,0.023688046647230322
1398,1497,2.8605362877773657,0.024052478134110787
1759,1867,2.8620858904424615,0.024416909620991252
144,255,2.863807648975942,0.02478134110787172
427,526,2.8780337270089418,0.025145772594752185
2585,2688,2.8831046999588543,0.025510204081632654
1,8,2.89255555252269,0.02587463556851312
306,407,2.895452705364564,0.026239067055393587
2222,2322,2.9582701821391266,0.026603498542274052
2428,2533,2.9684894803578925,0.02696793002915452
2074,2181,2.9688353382354693,0.027332361516034985
3,20,2.9825435949135093,0.027696793002915453
1550,1651,2.984034470699447,0.02806122448979592
933,1035,2.9946085686478465,0.028425655976676383
1998,2095,3.027264552601419,0.02879008746355685
1786,1887,3.0414293763703983,0.029154518950437316
1903,1998,3.1052812943087558,0.029518950437317785
5,5,3.1200689378663315,0.02988338192419825
2409,2514,3.1275857216688654,0.030247813411078718
537,636,3.142059036263411,0.030612244897959183
2635,2724,3.144454919858341,0.03097667638483965
227,319,3.151367684262986,0.03134110787172012
1427,1527,3.157435784679236,0.031705539358600585
1702,1801,3.1583251839872757,0.03206997084548105
660,759,3.179350096790348,0.032434402332361514
1069,1169,3.2025538907354183,0.03279883381924198
2555,2663,3.2072100574027083,0.03316326530612245
542,640,3.2084451118172743,0.033527696793002916
1324,1427,3.231561877693775,0.03389212827988338
620,719,3.2485899708322328,0.034256559766763846
2129,2224,3.2538576299166944,0.03462099125364432
2184,2288,3.2546422263981465,0.03498542274052478
1813,1921,3.258341082348867,0.03534985422740525
2474,2572,3.286345964146072,0.03571428571428571
1843,1944,3.298954433166101,0.036078717201166184
1535,1634,3.330422919478197,0.03644314868804665
4,96,3.332460522052486,0.036807580174927114
7,82,3.36136997970731,0.03717201166180758
161,261,3.3618238464311063,0.037536443148688044
1146,1250,3.3650510030888783,0.037900874635568516
462,547,3.3821304380576516,0.03826530612244898
1536,1630,3.39418195807179,0.038629737609329445
6,42,3.3953229935691063,0.03899416909620991
2726,2831,3.41986933851681,0.03935860058309038
9,124,3.426875638840887,0.03972303206997085
732,829,3.4433053218145635,0.04008746355685131
1822,1919,3.448477764984164,0.04045189504373178
1158,1266,3.448591298869773,0.04081632653061224
2592,2697,3.4598990954042983,0.041180758017492713
1549,1649,3.4632438571797373,0.04154518950437318
1713,1815,3.482055922719933,0.04190962099125364
2135,2223,3.4822352593665475,0.04227405247813411
1309,1408,3.48887650525125,0.04263848396501458
636,734,3.4967623574332953,0.043002915451895045
1394,1489,3.50047031318642,0.04336734693877551
671,768,3.5152080172807367,0.043731778425655975
2125,2216,3.5169152932141947,0.044096209912536447
1405,1499,3.54254335049245,0.04446064139941691
2408,2509,3.5518136687405946,0.044825072886297376
2298,2394,3.5539555874243236,0.04518950437317784
1821,1926,3.5593107045712093,0.045553935860058306
2047,2151,3.565918887610695,0.04591836734693878
1750,1846,3.5668761055635696,0.04628279883381924
1179,1279,3.568632129430493,0.04664723032069971
1395,1485,3.572661277276558,0.04701166180758017
2004,2094,3.5827577346485207,0.047376093294460644
1731,1827,3.5948361538409697,0.04774052478134111
2413,2513,3.5982382282808714,0.048104956268221574
1913,2004,3.603777921718337,0.04846938775510204
863,961,3.6097377501895758,0.048833819241982504
1452,1550,3.6164869254591596,0.049198250728862976
439,515,3.6199953362856383,0.04956268221574344
599,692,3.638564614375134,0.049927113702623906
2444,2546,3.638720932322977,0.05029154518950437
1884,1976,3.642761868298252,0.05065597667638484
425,510,3.6472224451854998,0.05102040816326531
2198,2301,3.654591346414273,0.05138483965014577
1245,1348,3.6718901828480797,0.05174927113702624
151,240,3.679345306464654,0.05211370262390671
2426,2527,3.7001918970127066,0.052478134110787174
588,680,3.7077118809471106,0.05284256559766764
812,919,3.710521002529253,0.053206997084548104
1997,2090,3.7287477313571102,0.05357142857142857
11,58,3.7367572138651046,0.05393586005830904
1354,1463,3.7509074241204554,0.054300291545189505
2284,2387,3.7511617449304127,0.05466472303206997
1622,1723,3.761438497360825,0.055029154518950435
1277,1381,3.7686610280670854,0.05539358600583091
377,468,3.772905843270037,0.05575801749271137
2390,2487,3.7746478008914406,0.05612244897959184
2737,2838,3.7817742132600407,0.0564868804664723
730,825,3.7840027226289132,0.056851311953352766
1030,1127,3.7857531454704376,0.05721574344023324
1389,1482,3.797617276583615,0.0575801749271137
1992,2079,3.8058785747718873,0.05794460641399417
2276,2378,3.8127140234683514,0.05830903790087463
12,95,3.8142786379348794,0.058673469387755105
244,326,3.8275559597014492,0.05903790087463557
994,1092,3.845513777063145,0.059402332361516035
1712,1811,3.858990170774665,0.0597667638483965
727,821,3.865446053802835,0.06013119533527697
1494,1595,3.8836647849304025,0.060495626822157436
1475,1568,3.883916132572482,0.0608600583090379
1328,1417,3.9113796165593486,0.061224489795918366
232,312,3.913348406216205,0.06158892128279883
1769,1860,3.916851013297774,0.0619533527696793
2011,2100,3.9443308334978355,0.06231778425655977
1963,2063,3.945247541081647,0.06268221574344024
1648,1742,3.9527480782882836,0.0630466472303207
1190,1286,3.954140450829229,0.06341107871720117
2318,2408,3.9556111105918292,0.06377551020408163
2653,2744,3.9773553029460245,0.0641399416909621
654,744,3.999192182563167,0.06450437317784256
465,548,4.007729212725712,0.06486880466472303
2528,2629,4.011792530849383,0.0652332361516035
430,513,4.015295966450043,0.06559766763848396
2385,2474,4.016640906808131,0.06596209912536444
975,1067,4.020416015640268,0.0663265306122449
1172,1270,4.033194520374406,0.06669096209912537
519,601,4.034670351232939,0.06705539358600583
1311,1402,4.038483009981492,0.0674198250728863
1847,1943,4.042920268390262,0.06778425655976676
2716,2812,4.05212133252981,0.06814868804664723
1820,1910,4.055658031499017,0.06851311953352769
621,708,4.0612769871263446,0.06887755102040816
2665,2760,4.070835298705314,0.06924198250728864
280,356,4.087076876593145,0.0696064139941691
65,146,4.091897670886925,0.06997084548104957
550,637,4.093297631891033,0.07033527696793003
1139,1241,4.095304061564648,0.0706997084548105
2174,2269,4.0955269811534665,0.07106413994169096
531,622,4.100224522866279,0.07142857142857142
2362,2455,4.101682543230101,0.07179300291545189
220,302,4.107914253951566,0.07215743440233237
1219,1315,4.109245687070119,0.07252186588921283
614,705,4.109852273099926,0.0728862973760933
2655,2746,4.116091516063159,0.07325072886297376
971,1066,4.118477501825773,0.07361516034985423
255,334,4.123646773784405,0.07397959183673469
2236,2324,4.129510001485836,0.07434402332361516
1730,1822,4.142193769329388,0.07470845481049562
1242,1330,4.149070640560598,0.07507288629737609
56,142,4.1525050498496086,0.07543731778425657
389,491,4.158748039121043,0.07580174927113703
1520,1609,4.161165429409495,0.0761661807580175
2241,2333,4.168054038360208,0.07653061224489796
1630,1722,4.1694274715625435,0.07689504373177843
2115,2207,4.170374455424696,0.07725947521865889
247,325,4.17387770091699,0.07762390670553936
1482,1570,4.182536699280664,0.07798833819241982
1135,1233,4.185977531634848,0.07835276967930029
1922,2007,4.191709955738169,0.07871720116618076
376,453,4.197120607137254,0.07908163265306123
8,3,4.200383452598243,0.0794460641399417
2347,2448,4.202051417329049,0.07981049562682216
2109,2205,4.2049072722382865,0.08017492711370262
499,585,4.205210958659556,0.08053935860058309
2700,2793,4.210578753465457,0.08090379008746355
1631,1727,4.218756107477428,0.08126822157434402
2678,2770,4.222425262596306,0.08163265306122448
1540,1625,4.223250574600625,0.08199708454810496
364,443,4.226416596425092,0.08236151603498543
2468,2560,4.226717596114778,0.08272594752186589
896,992,4.228724447759875,0.08309037900874636
2272,2370,4.2294973174752535,0.08345481049562682
418,507,4.2338601778969105,0.08381924198250729
850,937,4.235738582869189,0.08418367346938775
1527,1616,4.23758672222548,0.08454810495626822
1432,1521,4.242338879412793,0.08491253644314868
1006,1100,4.24520931573816,0.08527696793002916
1687,1774,4.249052711039503,0.08564139941690962
1336,1428,4.249802935909062,0.08600583090379009
362,430,4.250517820624052,0.08637026239067055
1178,1276,4.254541908922718,0.08673469387755102
391,480,4.265787994457823,0.08709912536443148
1345,1437,4.268778549330095,0.08746355685131195
2449,2542,4.274902641033174,0.08782798833819241
1065,1150,4.288162835947873,0.08819241982507289
2532,2630,4.292272067137836,0.08855685131195336
763,857,4.293730847480854,0.08892128279883382
834,923,4.295485834391253,0.08928571428571429
2588,2674,4.3086629761331965,0.08965014577259475
1567,1666,4.3126134804914535,0.09001457725947522
2280,2377,4.314805288047707,0.09037900874635568
544,632,4.325663257488478,0.09074344023323615
580,667,4.329035276251027,0.09110787172011661
13,116,4.3301249092762175,0.09147230320699709
365,440,4.343537278360405,0.09183673469387756
663,749,4.3483613601792355,0.09220116618075802
270,343,4.34930038313235,0.09256559766763849
2473,2561,4.353771495113418,0.09293002915451895
2609,2698,4.357729587663534,0.09329446064139942
1257,1353,4.361276205562549,0.09365889212827988
1657,1745,4.361488667844313,0.09402332361516035
1212,1310,4.362549448624509,0.09438775510204081
1142,1239,4.370273371040961,0.09475218658892129
375,455,4.386539334748967,0.09511661807580175
2717,2816,4.387663713457477,0.09548104956268222
456,535,4.392012660257384,0.09584548104956268
1553,1646,4.394897045495695,0.09620991253644315
907,1010,4.40406484710126,0.09657434402332361
1227,1316,4.410348070103365,0.09693877551020408
2551,2643,4.413435642144145,0.09730320699708454
231,299,4.413785106894216,0.09766763848396501
1881,1974,4.439111462551309,0.09803206997084549
298,380,4.441467381578856,0.09839650145772595
1154,1252,4.447341425819208,0.09876093294460642
1228,1319,4.451649151160299,0.09912536443148688
1198,1289,4.45378088395024,0.09948979591836735
653,736,4.454089845059361,0.09985422740524781
2398,2490,4.4549518692040815,0.10021865889212828
745,832,4.458151050219014,0.10058309037900874
1458,1547,4.459626555397538,0.1009475218658892
491,581,4.470325301391892,0.10131195335276968
1088,1186,4.470390799812591,0.10167638483965015
267,336,4.474762782991429,0.10204081632653061
2614,2699,4.477857766289194,0.10240524781341108
878,973,4.479587422302757,0.10276967930029154
1939,2032,4.485991926243751,0.10313411078717201
223,300,4.495162851440166,0.10349854227405247
505,594,4.495431041923561,0.10386297376093294
2608,2692,4.508611559316353,0.10422740524781342
16,61,4.513691456047995,0.10459183673469388
1848,1937,4.521294727427125,0.10495626822157435
2000,2086,4.522693214364406,0.10532069970845481
1638,1728,4.530882037350359,0.10568513119533528
1207,1312,4.542049492355006,0.10604956268221574
173,258,4.542590940822572,0.10641399416909621
94,178,4.543815573377204,0.10677842565597667
2172,2258,4.544607958420212,0.10714285714285714
2149,2227,4.55130324831523,0.10750728862973762
15,117,4.57593644382369,0.10787172011661808
1044,1136,4.576667601505059,0.10823615160349855
359,428,4.5988840936709146,0.10860058309037901
821,912,4.605443520116199,0.10896501457725948
2087,2183,4.60594143701233,0.10932944606413994
1804,1880,4.607595748494554,0.1096938775510204
1594,1682,4.609641813207912,0.11005830903790087
2570,2655,4.634471243879965,0.11042274052478133
279,352,4.636073941638265,0.11078717201166181
984,1081,4.648429117284545,0.11115160349854228
417,504,4.653622427201283,0.11151603498542274
1253,1338,4.659335863815777,0.11188046647230321
1107,1196,4.660517113229607,0.11224489795918367
446,514,4.670017183540146,0.11260932944606414
290,360,4.677476254227931,0.1129737609329446
1920,1999,4.679105881508195,0.11333819241982507
1736,1824,4.684872836815711,0.11370262390670553
1636,1726,4.686890651891228,0.11406705539358601
2155,2234,4.698681823356916,0.11443148688046648
2291,2382,4.702730260938844,0.11479591836734694
21,108,4.707591633379092,0.1151603498542274
1868,1955,4.712797123725707,0.11552478134110787
464,538,4.721441566738474,0.11588921282798834
275,345,4.730769088163795,0.1162536443148688
404,496,4.731155216490722,0.11661807580174927
2496,2582,4.735627645479271,0.11698250728862973
241,314,4.742788728432502,0.11734693877551021
2703,2795,4.755079956108558,0.11771137026239067
312,400,4.758538035852502,0.11807580174927114
106,177,4.761601080581524,0.1184402332361516
1989,2065,4.762155928189547,0.11880466472303207
1720,1805,4.763834707795573,0.11916909620991253
1584,1673,4.765576686380012,0.119533527696793
716,796,4.765629542067944,0.11989795918367346
1297,1391,4.777681341564357,0.12026239067055394
1729,1816,4.7911062541898675,0.12062682215743441
187,264,4.798778063429804,0.12099125364431487
17,110,4.804446245187548,0.12135568513119534
859,946,4.805030657040545,0.1217201166180758
14,32,4.811152755832986,0.12208454810495627
912,1013,4.8111727579771815,0.12244897959183673
137,208,4.812235312494354,0.1228134110787172
2718,2810,4.816936440299988,0.12317784256559766
2179,2267,4.822914725187556,0.12354227405247814
2667,2749,4.82365243887945,0.1239067055393586
811,900,4.8268900938972195,0.12427113702623907
1904,1984,4.8324618919365525,0.12463556851311954
2002,2084,4.834415304376617,0.125
2601,2684,4.8350815357978885,0.12536443148688048
2170,2257,4.837056273861795,0.12572886297376093
2027,2125,4.8426685008718815,0.1260932944606414
1204,1294,4.846143804653233,0.12645772594752186
303,386,4.85146956265722,0.12682215743440234
869,957,4.854767835454202,0.1271865889212828
1230,1317,4.865914271816632,0.12755102040816327
2041,2144,4.870965367778067,0.12791545189504372
2162,2241,4.875751561243273,0.1282798833819242
1043,1132,4.876859958216011,0.12864431486880468
2183,2271,4.890310342011885,0.12900874635568513
397,481,4.890624356927577,0.1293731778425656
862,952,4.89689412800159,0.12973760932944606
473,552,4.897785616694009,0.13010204081632654
2346,2436,4.901299460807514,0.130466472303207
159,238,4.901905496814583,0.13083090379008747
320,405,4.908419038769531,0.13119533527696792
1339,1421,4.909633173437928,0.1315597667638484
2554,2646,4.910083718974038,0.13192419825072887
1370,1465,4.917445526804908,0.13228862973760933
2279,2367,4.918012030410244,0.1326530612244898
1749,1831,4.922796509154503,0.13301749271137026
892,979,4.925927310595848,0.13338192419825073
2374,2459,4.9309811510340085,0.13374635568513119
1283,1377,4.934520430452985,0.13411078717201166
2067,2157,4.9362550209333,0.13447521865889212
857,943,4.939809936245344,0.1348396501457726
2415,2506,4.9446485794272945,0.13520408163265307
2033,2131,4.9617467871356,0.13556851311953352
836,915,4.966304330007416,0.135932944606414
24,126,4.971127954099793,0.13629737609329445
2650,2734,4.990648978969103,0.13666180758017493
1966,2056,4.9950774146027985,0.13702623906705538
148,213,5.003516691130099,0.13739067055393586
1906,1988,5.006011927032587,0.1377551020408163
