,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
2896,2983,2.9151707037453567e-05,6.25e-05
6231,6170,2.915170703749374e-05,0.000125
14862,14862,2.919296918467088e-05,0.0001875
3129,3212,2.919296918471111e-05,0.00025
3426,3406,2.919296918471111e-05,0.0003125
7810,7857,2.919296918475134e-05,0.000375
11471,11575,2.9213644092025462e-05,0.0004375
4680,4573,2.9213644092105978e-05,0.0005
9537,9625,2.9256417627427004e-05,0.0005625
1024,1158,2.925641762746988e-05,0.000625
629,616,2.9256417627476007e-05,0.0006875
8228,8300,2.9256417627500506e-05,0.00075
8461,8450,2.9256417627500506e-05,0.0008125
9714,9656,2.926903359018139e-05,0.000875
11576,11507,2.926903359018139e-05,0.0009375
305,356,2.926903359023195e-05,0.001
12192,12172,2.9275844895628073e-05,0.0010625
5081,5170,2.9275844895708758e-05,0.001125
6050,6167,2.9275844895708758e-05,0.0011875
7662,7765,2.9275844895708758e-05,0.00125
12634,12645,2.9281660438149546e-05,0.0013125
13675,13746,2.9281660438149546e-05,0.001375
3611,3714,2.928166043818633e-05,0.0014375
847,932,2.9281660438198592e-05,0.0015
7084,7095,2.9281660438223112e-05,0.0015625
6304,6402,2.9290311727378694e-05,0.001625
12529,12624,2.9294298185425398e-05,0.0016875
14305,14392,2.9294298185425398e-05,0.00175
4181,4282,2.9294298185462197e-05,0.0018125
5147,5143,2.9294298185499e-05,0.001875
8489,8533,2.9294298185499e-05,0.0019375
12009,12090,2.9306946846127223e-05,0.002
12534,12573,2.9306946846127223e-05,0.0020625
15401,15416,2.9306946846127223e-05,0.002125
2129,2227,2.930694684616404e-05,0.0021875
3296,3312,2.930694684616404e-05,0.00225
7396,7474,2.9306946846200854e-05,0.0023125
14596,14743,2.931056593955998e-05,0.002375
11741,11797,2.931960643439769e-05,0.0024375
13135,13239,2.931960643439769e-05,0.0025
14527,14612,2.931960643439769e-05,0.0025625
5012,5100,2.931960643447135e-05,0.002625
5122,5186,2.931960643447135e-05,0.0026875
5824,5693,2.931960643447135e-05,0.00275
5864,5932,2.931960643447135e-05,0.0028125
9035,9096,2.933227696440391e-05,0.002875
10907,10965,2.933227696440391e-05,0.0029375
11551,11594,2.933227696440391e-05,0.003
13779,13834,2.933227696440391e-05,0.0030625
776,834,2.933227696445304e-05,0.003125
2113,2096,2.9342973428855583e-05,0.0031875
12347,12357,2.9344958450337504e-05,0.00325
15577,15589,2.9344958450337504e-05,0.0033125
126,170,2.9344958450385886e-05,0.003375
1101,1036,2.9344958450386655e-05,0.0034375
7006,7060,2.934495845041123e-05,0.0035
6603,6605,2.93638217660587e-05,0.0035625
9273,9301,2.9363821766110563e-05,0.003625
11104,11199,2.9363821766110563e-05,0.0036875
8313,8359,2.93638284206417e-05,0.00375
1655,1694,2.9374186645194255e-05,0.0038125
5378,5472,2.937722378420843e-05,0.003875
7932,7819,2.937722378420843e-05,0.0039375
3740,3798,2.9377223784247345e-05,0.004
14548,14621,2.9384713078083945e-05,0.0040625
4915,5014,2.9384713078124375e-05,0.004125
11953,12037,2.9386809845317945e-05,0.0041875
13713,13823,2.9390638041696054e-05,0.00425
7971,8038,2.9399443899397255e-05,0.0043125
2906,2977,2.9399443899409473e-05,0.004375
6310,6331,2.940406455513964e-05,0.0044375
1600,1702,2.94040645551721e-05,0.0045
3680,3755,2.940406455517859e-05,0.0045625
3988,4022,2.940406455517859e-05,0.004625
13706,13752,2.9404064555191574e-05,0.0046875
10551,10469,2.9405627464616388e-05,0.00475
11542,11623,2.9405627464616388e-05,0.0048125
8240,8379,2.9412088821504522e-05,0.004875
9073,9021,2.941208882152897e-05,0.0049375
13627,13681,2.941208882152897e-05,0.005
14730,14637,2.941208882152897e-05,0.0050625
15530,15579,2.941208882152897e-05,0.005125
7974,7972,2.9417503341499394e-05,0.0051875
402,481,2.9417503341523748e-05,0.00525
9933,10017,2.941750334155135e-05,0.0053125
15328,15394,2.941750334155135e-05,0.005375
4753,4811,2.9424744625644586e-05,0.0054375
4923,4922,2.9424744625644586e-05,0.0055
8346,8448,2.9424744625644586e-05,0.0055625
8989,9070,2.9424744625669045e-05,0.005625
11947,12012,2.9424744625669045e-05,0.0056875
7600,7612,2.9430954417558604e-05,0.00575
8064,8147,2.9430954417558604e-05,0.0058125
3019,3062,2.943095441759759e-05,0.005875
3754,3828,2.943095441759759e-05,0.0059375
4377,4434,2.943741132587086e-05,0.006
7625,7720,2.943741132587086e-05,0.0060625
2603,2618,2.94374113258831e-05,0.006125
12225,12305,2.9437411325895334e-05,0.0061875
13919,13974,2.9437411325895334e-05,0.00625
42,29,2.9444417800208683e-05,0.0063125
1497,1579,2.9444417800215795e-05,0.006375
2933,3029,2.9444417800222294e-05,0.0064375
8731,8711,2.9444417800235297e-05,0.0065
9538,9601,2.9444417800235297e-05,0.0065625
12687,12758,2.944754567910622e-05,0.006625
12912,13001,2.944754567910622e-05,0.0066875
1203,1287,2.9447545679136606e-05,0.00675
5546,5530,2.9447545679146737e-05,0.0068125
10700,10699,2.9449621322431664e-05,0.006875
6824,6869,2.945008893626099e-05,0.0069375
2020,2064,2.9450088936267108e-05,0.007
2336,2356,2.945008893627323e-05,0.0070625
1692,1735,2.9462777470922975e-05,0.007125
10458,10493,2.9462777470941342e-05,0.0071875
12218,12297,2.9462777470941342e-05,0.00725
14851,14859,2.9462777470941342e-05,0.0073125
4714,4803,2.9463013601263815e-05,0.007375
2028,2118,2.9463013601296127e-05,0.0074375
2545,2480,2.946301360130259e-05,0.0075
3863,3885,2.946301360130259e-05,0.0075625
4669,4258,2.946301360130259e-05,0.007625
9491,9629,2.9463013601341366e-05,0.0076875
14569,14655,2.9463013601341366e-05,0.00775
7879,7794,2.9463828244808464e-05,0.0078125
10899,10912,2.94685496346548e-05,0.007875
6998,7113,2.946854963469534e-05,0.0079375
7951,8037,2.947641806605056e-05,0.008
3850,3937,2.9476418066089353e-05,0.0080625
12761,12856,2.9476418066128144e-05,0.008125
13728,13821,2.9476418066128144e-05,0.0081875
14782,14739,2.9476418066128144e-05,0.00825
93,77,2.9482881802645748e-05,0.0083125
15134,15173,2.9482881802661336e-05,0.008375
4459,4484,2.948288180268567e-05,0.0084375
7985,8078,2.948983473335418e-05,0.0085
2201,2294,2.9489834733392988e-05,0.0085625
12900,12951,2.94898347334318e-05,0.008625
14879,14871,2.94898347334318e-05,0.0086875
15686,15747,2.94898347334318e-05,0.00875
9266,9391,2.949550830450402e-05,0.0088125
11591,11646,2.949550830450402e-05,0.008875
14555,14584,2.949550830450402e-05,0.0089375
14658,14710,2.949550830450402e-05,0.009
8578,8615,2.9503263619844777e-05,0.0090625
2484,2484,2.9503263619883605e-05,0.009125
15147,15164,2.9503263619922433e-05,0.0091875
15852,15869,2.9506899657424657e-05,0.00925
3018,3087,2.9508145625959065e-05,0.0093125
7609,7614,2.95081456259956e-05,0.009375
6628,6713,2.9511068335728676e-05,0.0094375
5725,5795,2.9516704742222838e-05,0.0095
1416,1469,2.9516704742255208e-05,0.0095625
8741,8767,2.9516704742300528e-05,0.009625
9089,9158,2.9516704742300528e-05,0.0096875
9704,9834,2.9516704742300528e-05,0.00975
4868,4903,2.951916955302342e-05,0.0098125
1188,1264,2.9520718107992716e-05,0.009875
1135,1252,2.9520793780957673e-05,0.0099375
102,135,2.952079378096148e-05,0.01
3322,3426,2.9520793780963762e-05,0.0100625
3818,3974,2.9520793780963762e-05,0.010125
8848,8877,2.9520793780975946e-05,0.0101875
10988,11009,2.9520793780975946e-05,0.01025
4339,4385,2.952079378100031e-05,0.0103125
664,432,2.9530158117243582e-05,0.010375
11752,11613,2.953015811729702e-05,0.0104375
489,528,2.9533452783438167e-05,0.0105
9126,9223,2.9533452783454925e-05,0.0105625
15828,15905,2.9536007173250522e-05,0.010625
4470,4494,2.95403663566237e-05,0.0106875
5449,5521,2.95403663566237e-05,0.01075
7825,7885,2.95403663566237e-05,0.0108125
15591,15675,2.95403663566237e-05,0.010875
2756,2584,2.9540366356641115e-05,0.0109375
4793,4898,2.954362376159559e-05,0.011
91,86,2.9543623761621915e-05,0.0110625
10376,10455,2.954362376167335e-05,0.011125
12823,12895,2.954362376167335e-05,0.0111875
285,336,2.9546122647352125e-05,0.01125
8568,8686,2.954612264736889e-05,0.0113125
12855,12926,2.954612264736889e-05,0.011375
5236,5304,2.9546122647393277e-05,0.0114375
14304,14389,2.9548903688970605e-05,0.0115
6687,6641,2.954975620001575e-05,0.0115625
4399,4463,2.9553161220486762e-05,0.011625
3389,3443,2.9554727729068916e-05,0.0116875
4452,4508,2.9558478169227393e-05,0.01175
12682,12706,2.9558478169227393e-05,0.0118125
3453,3556,2.9558803386690328e-05,0.011875
8896,8989,2.9558803386702525e-05,0.0119375
10115,10204,2.9558803386702525e-05,0.012
5381,5388,2.9560164509842274e-05,0.0120625
5418,5558,2.9560164509842274e-05,0.012125
3753,3758,2.956016450988089e-05,0.0121875
11076,11076,2.9560164509945253e-05,0.01225
7948,8048,2.9569436941027845e-05,0.0123125
15862,15992,2.9569772082398856e-05,0.012375
2934,3004,2.9571495015452323e-05,0.0124375
14746,14799,2.9571495015464527e-05,0.0125
8261,8309,2.9571495015488932e-05,0.0125625
8862,8920,2.957355833165343e-05,0.012625
6858,6976,2.9576612204914035e-05,0.0126875
13526,13549,2.9578023985530217e-05,0.01275
3744,3808,2.9582636937469946e-05,0.0128125
9573,9538,2.9583680119961768e-05,0.012875
5181,5290,2.9586964296342586e-05,0.0129375
1607,1700,2.9586964296381238e-05,0.013
9447,9571,2.9586964296445656e-05,0.0130625
12778,12893,2.9586964296445656e-05,0.013125
13926,13985,2.9586964296445656e-05,0.0131875
4733,4772,2.9594768504610116e-05,0.01325
7993,7962,2.9597292371087723e-05,0.0133125
13493,13517,2.960038242084314e-05,0.013375
15243,15283,2.960038242084314e-05,0.0134375
7237,7265,2.9612947109342678e-05,0.0135
14357,14279,2.9612947109342678e-05,0.0135625
8374,8433,2.9613812721293895e-05,0.013625
9582,9681,2.961381272139706e-05,0.0136875
9815,9897,2.961381272139706e-05,0.01375
11226,11290,2.961381272139706e-05,0.0138125
15451,15521,2.9614861241958156e-05,0.013875
584,669,2.962259075171007e-05,0.0139375
9174,9106,2.9622590751768635e-05,0.014
14786,14879,2.9622590751768635e-05,0.0140625
2503,2585,2.9623947278301163e-05,0.014125
2414,2061,2.9627255214624153e-05,0.0141875
218,250,2.9631148060237446e-05,0.01425
11380,11380,2.963114806023963e-05,0.0143125
12998,13036,2.963114806023963e-05,0.014375
13472,13503,2.963114806023963e-05,0.0144375
3892,4073,2.9636160422226564e-05,0.0145
12468,12528,2.963616042229166e-05,0.0145625
6967,7004,2.9640709917226043e-05,0.014625
9754,9862,2.9646909716098506e-05,0.0146875
6138,6184,2.9649742530564694e-05,0.01475
2078,2138,2.964974253057772e-05,0.0148125
9180,9160,2.9654176845960525e-05,0.014875
12731,12825,2.9654176845960525e-05,0.0149375
15812,15956,2.9654176845960525e-05,0.015
8713,8713,2.96556696735948e-05,0.0150625
4274,4408,2.966333709385244e-05,0.015125
15894,15925,2.9663777645675522e-05,0.0151875
13328,13411,2.9674159309097073e-05,0.01525
2237,2317,2.967694412922963e-05,0.0153125
2256,2378,2.967694412922963e-05,0.015375
2267,2353,2.967694412922963e-05,0.0154375
10433,10554,2.9676944129294813e-05,0.0155
12299,12376,2.9676944129294813e-05,0.0155625
9936,10021,2.9684944767053435e-05,0.015625
10500,10657,2.9687128245491818e-05,0.0156875
6808,6838,2.9690563653828437e-05,0.01575
11444,11508,2.96905636539067e-05,0.0158125
13495,13470,2.96905636539067e-05,0.015875
4886,4955,2.9704195684890803e-05,0.0159375
9496,9460,2.97041956849691e-05,0.016
4398,4369,2.9714277716427993e-05,0.0160625
4997,4856,2.9714277716427993e-05,0.016125
13233,13367,2.9714277716427993e-05,0.0161875
2629,2610,2.9714277716456078e-05,0.01625
12376,12379,2.971618333904142e-05,0.0163125
9243,9359,2.971784023971644e-05,0.016375
11801,11867,2.971784023971644e-05,0.0164375
15340,15402,2.971784023971644e-05,0.0165
15388,15425,2.971784023971644e-05,0.0165625
15533,15486,2.972500642985837e-05,0.016625
6255,5970,2.9727633448007452e-05,0.0166875
10827,10762,2.9740687792312965e-05,0.01675
3006,3093,2.9743668693425864e-05,0.0168125
11172,11044,2.9752986736127823e-05,0.016875
1289,1306,2.9765855498047126e-05,0.0169375
10603,10748,2.977260141460173e-05,0.017
14395,14515,2.977311787032191e-05,0.0170625
15525,14445,2.977783309770041e-05,0.017125
3915,3933,2.9778661592022762e-05,0.0171875
12539,12597,2.978027893830504e-05,0.01725
2308,2381,2.9783348871662014e-05,0.0173125
9919,10023,2.978448255258423e-05,0.017375
2782,2890,2.9787487722330392e-05,0.0174375
13285,13353,2.979140627544865e-05,0.0175
11974,12043,2.9795464251849327e-05,0.0175625
3315,2074,2.9802625420228858e-05,0.017625
9523,9640,2.9802625420242942e-05,0.0176875
9100,9196,2.9803860076187048e-05,0.01775
8345,8422,2.9804063509108015e-05,0.0178125
1392,1454,2.9812411447900258e-05,0.017875
2236,2315,2.981780439824106e-05,0.0179375
2688,2729,2.9819567639683762e-05,0.018
2519,2541,2.9841567338222162e-05,0.0180625
8839,8901,2.9841567338230056e-05,0.018125
4877,4932,2.9841567338245845e-05,0.0181875
8365,8391,2.9841567338245845e-05,0.01825
1247,1357,2.984985896570869e-05,0.0183125
1727,1753,2.984985896570869e-05,0.018375
11352,11431,2.9849858965720534e-05,0.0184375
13838,13888,2.9849858965720534e-05,0.0185
7174,7226,2.984985896573633e-05,0.0185625
14483,14518,2.9850396001073e-05,0.018625
2466,2530,2.9858155202223395e-05,0.0186875
11342,11453,2.9858155202231297e-05,0.01875
15586,15674,2.9858155202231297e-05,0.0188125
