,Request Id,request_preemption_time,cdf
76,131,0.0,6.25e-05
548,642,0.0,0.000125
662,751,0.0,0.0001875
1682,1779,0.0,0.00025
3614,3718,0.0,0.0003125
5727,5848,0.0,0.000375
8428,8536,0.0,0.0004375
10382,10509,0.0,0.0005
12031,12114,0.0,0.0005625
12402,12491,0.0,0.000625
13894,13983,0.0,0.0006875
15445,15538,0.0,0.00075
15907,15999,0.0,0.0008125
15922,15998,0.0,0.000875
15947,15996,0.0,0.0009375
15966,15997,0.0,0.001
13152,13254,0.008158237384122913,0.0010625
8843,8929,0.02498377337826696,0.001125
5947,6072,0.03473364599932438,0.0011875
1752,1827,0.0416422762363311,0.00125
2006,2087,0.04352750243700143,0.0013125
8704,8813,0.04525199198826613,0.001375
12091,12162,0.056299354082511854,0.0014375
9383,9495,0.056847836419024134,0.0015
2643,2750,0.061638376863498934,0.0015625
6656,6775,0.06245107621589341,0.001625
11254,11377,0.0629450515471035,0.0016875
15042,15139,0.0632028356740193,0.00175
7916,8021,0.06841328208236064,0.0018125
15930,15993,0.06841328208236064,0.001875
12559,12624,0.07788503859137563,0.0019375
5348,5403,0.0784987227630154,0.002
14589,14673,0.0795946423057785,0.0020625
5715,5825,0.08238453145128233,0.002125
15548,15627,0.08335974521173739,0.0021875
8270,8379,0.08335974521179423,0.00225
13564,13651,0.08345669681148138,0.0023125
270,319,0.08395911032916104,0.002375
9852,9973,0.08479296716097906,0.0024375
10265,10381,0.08479296716097906,0.0025
15894,15992,0.08479296716097906,0.0025625
4938,5057,0.08485166778882558,0.002625
7005,7081,0.09024964613695374,0.0026875
7933,8026,0.09024964613695374,0.00275
496,569,0.09024964613697506,0.0028125
13698,13799,0.0912889217843258,0.002875
8959,9060,0.09213265706353013,0.0029375
3963,4073,0.09821743004610539,0.003
15204,15303,0.10033395601362827,0.0030625
5094,5191,0.10033395601368511,0.003125
8844,8930,0.10134510377542938,0.0031875
12596,12666,0.1016049050199399,0.00325
6923,7017,0.1025785805948658,0.0033125
4,25,0.10530710979689362,0.003375
1742,1823,0.10867439084616137,0.0034375
1437,1529,0.11128844363175006,0.0035
11760,11864,0.11231473926966373,0.0035625
8387,8453,0.11231473926972058,0.003625
13395,13494,0.11287170974981109,0.0036875
15835,15956,0.11324861641651296,0.00375
12016,12080,0.11373636471341797,0.0038125
2998,3094,0.113936942519274,0.003875
15949,15989,0.11395406081783221,0.0039375
2949,3071,0.11432759851928154,0.004
6891,6985,0.11445767204241974,0.0040625
103,168,0.11559030657075553,0.004125
8626,8715,0.11559030657076619,0.0041875
2029,2120,0.11783098418705151,0.00425
637,719,0.1187065212533156,0.0043125
3746,3855,0.12142945880125922,0.004375
15927,15995,0.1215285308012426,0.0044375
391,472,0.1250812996339583,0.0045
8141,8219,0.12579553273207011,0.0045625
9776,9899,0.12630751645997407,0.004625
6327,6379,0.12651973653879622,0.0046875
2542,2651,0.12667197837419053,0.00475
303,350,0.12855283910811366,0.0048125
