,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
6682,6864,4.3932319068144856e-05,6.25e-05
600,615,4.393231906815884e-05,0.000125
2258,2296,4.393231906815884e-05,0.0001875
3486,3035,4.393231906815884e-05,0.00025
7985,7829,4.395394994902528e-05,0.0003125
12226,12111,4.395394994902528e-05,0.000375
14387,14310,4.395394994902528e-05,0.0004375
14512,14525,4.395394994902528e-05,0.0005
15371,15263,4.395394994902528e-05,0.0005625
15885,15809,4.395394994902528e-05,0.000625
6756,6944,4.39756021411184e-05,0.0006875
11486,11455,4.39756021411184e-05,0.00075
15012,14873,4.39756021411184e-05,0.0008125
3771,3920,4.39756021411324e-05,0.000875
4947,5112,4.3997275675934126e-05,0.0009375
6763,6960,4.3997275675934126e-05,0.001
7272,7434,4.3997275675934126e-05,0.0010625
8082,8236,4.3997275675934126e-05,0.001125
4889,4907,4.401897058504455e-05,0.0011875
10066,10242,4.401897058504455e-05,0.00125
11861,11900,4.401897058504455e-05,0.0013125
13956,14014,4.401897058504455e-05,0.001375
15379,15536,4.401897058504455e-05,0.0014375
3932,3801,4.404068690009806e-05,0.0015
5063,5057,4.4062424652749426e-05,0.0015625
7468,7666,4.4062424652749426e-05,0.001625
9245,9344,4.4062424652749426e-05,0.0016875
11425,11425,4.4062424652749426e-05,0.00175
13480,13483,4.4062424652749426e-05,0.0018125
15892,15861,4.4062424652749426e-05,0.001875
543,575,4.406242465276346e-05,0.0019375
5154,5073,4.408418387480017e-05,0.002
6109,6350,4.408418387480017e-05,0.0020625
9729,9918,4.408418387480017e-05,0.002125
13526,13774,4.408418387480017e-05,0.0021875
14954,15166,4.408418387480017e-05,0.00225
15917,15923,4.408418387480017e-05,0.0023125
700,644,4.4084183874814206e-05,0.002375
5686,5894,4.4333590382391226e-05,0.0024375
6081,5999,4.4333590382391226e-05,0.0025
12777,12994,4.4333590382391226e-05,0.0025625
3229,3326,4.4333590382398626e-05,0.002625
2926,2897,4.434447876327601e-05,0.0026875
3063,3160,4.434447876327601e-05,0.00275
3860,3879,4.434447876327601e-05,0.0028125
4426,4604,4.434447876327601e-05,0.002875
9244,9245,4.434447876329078e-05,0.0029375
9429,9429,4.434447876329078e-05,0.003
9852,9851,4.434447876329078e-05,0.0030625
15127,15017,4.434447876329078e-05,0.003125
7357,7289,4.4345138595567155e-05,0.0031875
7989,8206,4.4345138595567155e-05,0.00325
9379,9574,4.4345138595567155e-05,0.0033125
9416,9355,4.4345138595567155e-05,0.003375
12839,12801,4.4345138595567155e-05,0.0034375
12843,12855,4.4345138595567155e-05,0.0035
14731,14693,4.4345138595567155e-05,0.0035625
15612,15505,4.4345138595567155e-05,0.003625
2454,2511,4.434513859557456e-05,0.0036875
3138,3300,4.434513859557456e-05,0.00375
2590,2719,4.435600579180818e-05,0.0038125
5477,5610,4.435600579180818e-05,0.003875
7243,7450,4.4356692826571735e-05,0.0039375
7307,7233,4.4356692826571735e-05,0.004
9077,9286,4.4356692826571735e-05,0.0040625
11607,11565,4.4356692826571735e-05,0.004125
12949,13154,4.4356692826571735e-05,0.0041875
8,32,4.4356692826575895e-05,0.00425
274,278,4.4356692826575895e-05,0.0043125
3751,3827,4.436753881463496e-05,0.004375
