,Request Id,request_execution_plus_preemption_time,cdf
493,751,0.3951183216845532,6.25e-05
10325,10509,0.4937491338758043,0.000125
5479,5848,0.6188710528789056,0.0001875
13258,13361,0.6760799034118281,0.00025
11629,11789,0.8565994385905474,0.0003125
8195,8536,0.8570164757087058,0.000375
12572,12735,0.9256401449683469,0.0004375
10866,11214,0.9397558070896641,0.0005
9791,9973,0.9496701542429066,0.0005625
15852,15999,0.9613177457030818,0.000625
3956,4073,0.9631057810515755,0.0006875
12637,13030,1.0090808205122443,0.00075
11543,11864,1.0160405931520375,0.0008125
635,888,1.0223853878980231,0.000875
10845,11148,1.1236411115258274,0.0009375
4749,5076,1.249485366726858,0.001
3240,3393,1.2500441127645194,0.0010625
3710,4032,1.2637503500438374,0.001125
6281,6379,1.2755360265681914,0.0011875
3787,4090,1.2760319367995243,0.00125
5658,6016,1.2840517478561768,0.0013125
15804,15865,1.3077975171304217,0.001375
3131,3335,1.3847222001888957,0.0014375
5680,6032,1.384830122045856,0.0015
6827,6949,1.4230309482618453,0.0015625
14485,14623,1.4450065196673783,0.001625
5639,5982,1.4474135002896418,0.0016875
6680,6775,1.4513369771571618,0.00175
11761,12114,1.4601007509320165,0.0018125
3362,3571,1.4658328993943268,0.001875
2366,2559,1.4707813815044253,0.0019375
12864,13254,1.4790930310463373,0.002
4804,5007,1.491380954049729,0.0020625
3931,4246,1.4957131225591271,0.002125
14278,14718,1.505622295777608,0.0021875
15710,15992,1.5276798453807139,0.00225
10408,10535,1.535810422545523,0.0023125
7271,7610,1.5582033974553142,0.002375
10937,11067,1.5705357300494078,0.0024375
15103,15538,1.58276165382086,0.0025
12291,12417,1.5913664276503006,0.0025625
10723,11020,1.6112231864729765,0.002625
7504,7607,1.6391891451966503,0.0026875
12359,12491,1.6447212967044034,0.00275
6655,7024,1.6644302663529364,0.0028125
15369,15471,1.6696680215033874,0.002875
14472,14902,1.6821821914406283,0.0029375
3391,3537,1.69347927587621,0.003
1908,2087,1.7136535687891394,0.0030625
10401,10688,1.7243570821295222,0.003125
13826,14238,1.7245300249558886,0.0031875
15189,15303,1.7299484144404875,0.00325
9076,9458,1.7401392968369778,0.0033125
4382,4686,1.749491158863769,0.003375
3585,3795,1.750042687053929,0.0034375
3615,3898,1.7578542881616923,0.0035
5420,5529,1.789104798922566,0.0035625
10050,10352,1.7941446817398135,0.003625
1761,2014,1.8255150777248395,0.0036875
592,801,1.830244343746298,0.00375
13527,13683,1.8550520517683893,0.0038125
603,809,1.8686127154894647,0.003875
15789,15833,1.874883209940171,0.0039375
7898,8021,1.8813179523840857,0.004
15030,15109,1.8902978145022624,0.0040625
4153,4472,1.9190218644338757,0.004125
11718,11853,1.9221472257477068,0.0041875
10882,11045,1.9276408924111714,0.00425
6455,6539,1.9420481643992953,0.0043125
10762,11064,1.9547042859996726,0.004375
8541,8930,1.9577749766001835,0.0044375
10122,10428,1.970961283751366,0.0045
9203,9504,1.9744854975915993,0.0045625
5482,5589,1.9801401893910313,0.004625
12906,13013,1.993739061867538,0.0046875
436,675,1.9955158153468806,0.00475
1633,1849,2.0047043953584565,0.0048125
4963,5057,2.0127312252338925,0.004875
18,168,2.0133442264625714,0.0049375
9426,9597,2.013651923510273,0.005
12671,13046,2.0141616449479853,0.0050625
6040,6412,2.0213496755318605,0.005125
13064,13450,2.02232869786938,0.0051875
11803,11937,2.0278439600872042,0.00525
15029,15139,2.0308885720610297,0.0053125
11575,11876,2.032424991026213,0.005375
13262,13528,2.0341691412534297,0.0054375
389,627,2.0391060506328054,0.0055
1627,1866,2.042979425282839,0.0055625
2304,2469,2.044829726237729,0.005625
14489,14752,2.0617891756287925,0.0056875
12971,13240,2.0675082672944862,0.00575
2460,2651,2.086058672684302,0.0058125
11110,11227,2.0946302506193484,0.005875
8288,8379,2.1030480337330153,0.0059375
5732,5841,2.1053997117272134,0.006
6014,6121,2.1066939781546243,0.0060625
2785,2921,2.1178852276952296,0.006125
2064,2364,2.1201098092410695,0.0061875
12166,12299,2.1208638231893633,0.00625
10898,11234,2.126821581514765,0.0063125
4659,4863,2.13208284382727,0.006375
