,Time (sec),request_completion
0,2.374355258706181,1
1,2.9604392280465746,2
2,2.9982661973908153,3
3,3.266529923442141,4
4,3.5424791048893995,5
5,4.54500894724286,6
6,5.938285107591486,7
7,5.971818815470338,8
8,6.305262345844271,9
9,6.354508906694853,10
10,6.493193992536282,11
11,6.725877743242336,12
12,6.744733015357756,13
13,6.978503781679948,14
14,6.985534072318492,15
15,7.033843989557802,16
16,7.836834185674358,17
17,7.937018716672878,18
18,8.188774046845749,19
19,8.208610061811115,20
20,8.358604171574074,21
21,8.402073901102007,22
22,8.428134386167862,23
23,8.442068683421413,24
24,8.615644849219164,25
25,8.642192335818441,26
26,8.79448240281183,27
27,8.98504925286481,28
28,9.005005452824513,29
29,9.191295357180067,30
30,9.256336220714763,31
31,9.258535591632645,32
32,9.495215662902604,33
33,9.578783798987915,34
34,9.62479910543033,35
35,10.038814898832811,36
36,10.061008711983842,37
37,10.100854096508911,38
38,10.404598421443268,39
39,10.444602592562676,40
40,10.488327042719286,41
41,10.623190180538725,42
42,10.748486891795427,43
43,10.80853222287454,44
44,10.98867867051188,45
45,11.04297798028227,46
46,11.122960493888481,47
47,11.182729349600198,48
48,11.24267164867931,49
49,11.302179228531477,50
50,11.523928038866483,51
51,11.584171091545597,52
52,12.121003197223876,53
53,12.32761948440558,54
54,12.370541626731853,55
55,12.377369182869451,56
56,12.390770039265842,57
57,12.618594905585887,58
58,12.811670469156873,59
59,12.963875968740744,60
60,13.038328006023454,61
61,13.043772941379562,62
62,13.300373612258133,63
63,13.380899687528334,64
64,13.384053841494538,65
65,13.613549683761008,66
66,13.693410435599818,67
67,13.905667277943307,68
68,13.943386244581154,69
69,13.983159761300564,70
70,14.082699100299092,71
71,14.10821969249384,72
72,14.148554021561818,73
73,14.63009167095458,74
74,14.630546402077995,75
75,14.710648393090532,76
76,14.73075166962452,77
77,14.750632156589885,78
78,14.890175193554134,79
79,15.010005263712351,80
80,15.19508377537069,81
81,15.506837703987566,82
82,15.512804901911302,83
83,15.675938857439382,84
84,15.784250826534748,85
85,15.784250826534748,86
86,15.784611725171555,87
87,15.844080332619521,88
88,15.864088190179226,89
89,16.08829836101709,90
90,16.23598854210163,91
91,16.289993236711947,92
92,16.547654223399995,93
93,16.547654223399995,94
94,16.825912933506324,95
95,17.64979720590472,96
96,17.75275056136501,97
97,18.020668960908534,98
98,18.10596092007895,99
99,18.159934037426464,100
100,18.444073902494324,101
101,18.464177179028315,102
102,18.62302812581667,103
103,18.749157132652268,104
104,18.866240075436355,105
105,18.87006888145621,106
106,19.22379284099969,107
107,19.303812415238514,108
108,19.44399955255646,109
109,19.44399955255646,110
110,19.604391080581948,111
111,19.961052932150277,112
112,20.247248520994702,113
113,20.47673646951382,114
114,20.786821933391213,115
115,20.936569534755716,116
116,21.117491136964848,117
117,21.196172368154237,118
118,21.296032131152753,119
119,21.373822366732842,120
120,21.42680382863572,121
121,21.747807336742948,122
122,21.83034828645075,123
123,22.153283984259964,124
124,22.425952130578693,125
125,22.48597940405781,126
126,22.551181925932852,127
127,22.61511067976988,128
128,22.65779574339457,129
129,22.687154537493292,130
130,22.784644030934253,131
131,22.875063167004374,132
132,22.937236788304684,133
133,22.996298437057717,134
134,23.086096645127835,135
135,23.176794679021135,136
136,23.183547768478252,137
137,23.234033708614227,138
138,23.254207420348216,139
139,23.456299333307864,140
140,23.456299333307864,141
141,23.68499780932739,142
142,23.785546467974697,143
143,23.935654115889957,144
144,23.95578695806682,145
145,24.28723736293185,146
146,24.453067861157386,147
147,24.55088890187374,148
148,24.59450121024662,149
149,24.61460353638061,150
150,24.755310811298532,151
151,24.835530915137344,152
152,24.90098170140973,153
153,25.119204801921903,154
154,25.146431619177648,155
155,25.200371804572935,156
156,25.206590854256767,157
157,25.532524202002,158
158,25.645248406720743,159
