,Request Id,prefill_e2e_time,cdf
3917,187,0.015196712318735539,6.25e-05
7035,2106,0.015247451875701756,0.000125
7904,2467,0.015253817746497589,0.0001875
9475,3716,0.015276821163581644,0.00025
5288,487,0.015368945838933001,0.0003125
6998,590,0.01568360395748236,0.000375
4962,39,0.016065194127248827,0.0004375
4783,75,0.016381584628204715,0.0005
7006,3321,0.01682612201881284,0.0005625
5796,1487,0.016843625097635595,0.000625
5148,1929,0.017192834252824696,0.0006875
8624,2499,0.017196206847444273,0.00075
5328,2295,0.017724966195324043,0.0008125
1332,1609,0.01781359942621208,0.000875
8672,3325,0.01830401522046543,0.0009375
1936,707,0.018714204543744728,0.001
4877,397,0.018770846365484317,0.0010625
6484,2834,0.01896644128799352,0.001125
3382,3449,0.019735907110671747,0.0011875
8428,3290,0.019743395348911008,0.00125
4904,1785,0.019785000819830145,0.0013125
4502,1861,0.01981737320802779,0.001375
6044,1577,0.01992505649496934,0.0014375
1961,645,0.02022919142654267,0.0015
170,275,0.020269906120548242,0.0015625
2944,3008,0.020357195736352196,0.001625
2374,2594,0.020428890626035923,0.0016875
6858,1900,0.020438660038706757,0.00175
791,1035,0.020637459323573637,0.0018125
803,593,0.02066393079450002,0.001875
1078,235,0.020689940248557193,0.0019375
6515,1109,0.020708503169782233,0.002
2967,3113,0.020732228765950822,0.0020625
7329,2686,0.020855950870291906,0.002125
2252,2542,0.02114144979153565,0.0021875
4589,925,0.02116474525783829,0.00225
6710,2523,0.021200881130667426,0.0023125
4233,3500,0.02139281164616591,0.002375
6277,924,0.02145522833140845,0.0024375
5724,545,0.021468376833059466,0.0025
7203,3230,0.021477618320687952,0.0025625
5703,2331,0.021513167198662586,0.002625
7600,3648,0.021540555992586974,0.0026875
5201,2716,0.021715863175352013,0.00275
4744,643,0.021766924253174835,0.0028125
3082,982,0.021775710450100405,0.002875
4830,169,0.021786108877430266,0.0029375
3543,3601,0.021845179407947057,0.003
1956,1990,0.021869003756826544,0.0030625
2414,2602,0.021884011989186547,0.003125
1872,1854,0.021989139941531732,0.0031875
3466,3728,0.022111418583733666,0.00325
3451,3584,0.022212434855859442,0.0033125
8213,2951,0.022229973076946408,0.003375
1831,1973,0.02236421046164594,0.0034375
4308,1504,0.022561997510081255,0.0035
1080,1090,0.02265848227509437,0.0035625
4417,2997,0.02271408197853475,0.003625
8342,3243,0.022828407692401242,0.0036875
5392,218,0.022863792471150113,0.00375
3191,1251,0.02300509686762453,0.0038125
2864,3093,0.023008287706730357,0.003875
3949,3585,0.023198679901554442,0.0039375
3203,3278,0.02324852197698135,0.004
1214,1365,0.023250050910306186,0.0040625
1953,2085,0.02326439265798541,0.004125
2774,2610,0.02336667252109237,0.0041875
1621,1831,0.023452531533550314,0.00425
1055,1315,0.023480317782862414,0.0043125
1542,1617,0.023531751872390316,0.004375
5543,2391,0.02353636079756427,0.0044375
346,642,0.023608733854365127,0.0045
3313,3388,0.02361735037318624,0.0045625
2150,2184,0.023641335857497836,0.004625
235,203,0.023665044349873376,0.0046875
4533,471,0.023671911536228052,0.00475
5752,2773,0.023676916158208883,0.0048125
7166,1441,0.02367877908246996,0.004875
3076,3173,0.023709398605774368,0.0049375
8453,2498,0.023715186296641377,0.005
523,768,0.023753674785830015,0.0050625
25,154,0.02376338433892622,0.005125
4664,231,0.023765608935926608,0.0051875
3002,234,0.02378398268964599,0.00525
805,948,0.023859029137447862,0.0053125
7878,3752,0.023859664987639917,0.005375
5773,1229,0.02395689771162779,0.0054375
6740,1189,0.02398245405534638,0.0055
5002,790,0.024094846145683135,0.0055625
7003,3141,0.024117152623958305,0.005625
2560,2607,0.02417346699861156,0.0056875
939,1072,0.02418675334228837,0.00575
5368,1992,0.024247356557047794,0.0058125
1546,1663,0.024294258306490235,0.005875
2545,2586,0.02431608904145577,0.0059375
3449,699,0.024316973160516397,0.006
4055,2404,0.024327184175341188,0.0060625
3163,3272,0.024328209250242594,0.006125
7989,2786,0.024368371027250646,0.0061875
2987,3073,0.024369346981814033,0.00625
1187,1244,0.02437284871198031,0.0063125
1348,1342,0.024428395211327114,0.006375
1338,1435,0.024490795640470964,0.0064375
2567,1729,0.024537504489906325,0.0065
6676,782,0.02458997959891107,0.0065625
4441,2034,0.024683674494966112,0.006625
3510,3478,0.02470212183814624,0.0066875
7910,2976,0.024725893691652345,0.00675
6362,3481,0.024755798003454288,0.0068125
2902,3191,0.024766170337599647,0.006875
6119,435,0.024772331506881073,0.0069375
3518,295,0.024873735912906092,0.007
1981,2091,0.02487582937799715,0.0070625
3722,1273,0.024923002800047556,0.007125
1094,1131,0.02500809390704717,0.0071875
6607,2053,0.02502852635172559,0.00725
5228,1970,0.025085330533428873,0.0073125
527,679,0.02512174534949274,0.007375
5958,988,0.025131556947982858,0.0074375
6553,1994,0.025171900814918047,0.0075
16,131,0.025226234863811925,0.0075625
876,926,0.025230646785850297,0.007625
2490,2645,0.025317556742905367,0.0076875
316,327,0.02553239003415264,0.00775
5075,1986,0.025605829895674503,0.0078125
1972,2098,0.025698484839132618,0.007875
8612,3214,0.025756417420993216,0.0079375
6246,960,0.025766633517978477,0.008
7038,2548,0.025770760522831893,0.0080625
566,619,0.025793166107998644,0.008125
6188,1345,0.0258247278731929,0.0081875
7568,2093,0.025855440593922197,0.00825
1466,1496,0.025857361025110492,0.0083125
2998,3286,0.025907110762034335,0.008375
2400,2699,0.025981484430651847,0.0084375
1065,1330,0.026018783410258095,0.0085
446,191,0.026037613765211187,0.0085625
2264,1895,0.026072362737458832,0.008625
7891,2728,0.026107926469222775,0.0086875
1227,1178,0.02613134308210263,0.00875
1848,1933,0.026148500540749353,0.0088125
7041,3088,0.026272974474153443,0.008875
2923,3155,0.026301883499272094,0.0089375
2485,2852,0.02631083888200436,0.009
780,901,0.026442546892621266,0.0090625
1193,1424,0.026466846974173563,0.009125
735,961,0.026490967395105258,0.0091875
7341,3003,0.026524699315530142,0.00925
1633,1359,0.026768219352941713,0.0093125
2123,2382,0.026808463356140066,0.009375
586,618,0.02685836437173883,0.0094375
691,955,0.026903402501616824,0.0095
2653,2806,0.026983908780330523,0.0095625
6228,1027,0.02698633671156969,0.009625
869,989,0.027089024918264926,0.0096875
317,394,0.027118863349077316,0.00975
2572,2659,0.027129596265666578,0.0098125
1662,1897,0.02718486362925887,0.009875
26,38,0.027196761840304173,0.0099375
298,393,0.02721491310104973,0.01
621,677,0.027424791698672735,0.0100625
3978,3031,0.02743732636734819,0.010125
313,547,0.027471771832916048,0.0101875
178,398,0.02747789462643091,0.01025
1845,1864,0.027511138540873503,0.0103125
855,1200,0.027554373177476776,0.010375
1712,1843,0.02762779568540452,0.0104375
1102,1381,0.02768912485434072,0.0105
5253,337,0.027766318675342738,0.0105625
1946,2207,0.027804618379349222,0.010625
3847,1205,0.027882981766243375,0.0106875
107,130,0.02790095901603573,0.01075
164,312,0.027962814102257205,0.0108125
979,938,0.02813319184645735,0.010875
386,303,0.02816566029530776,0.0109375
2655,2956,0.02822540764803705,0.011
3149,3337,0.028281954785029484,0.0110625
2006,2020,0.028310506278621972,0.011125
2378,2419,0.028361487834565935,0.0111875
2870,3020,0.028416001223391163,0.01125
1539,1664,0.02848338816603757,0.0113125
105,190,0.028494285616978754,0.011375
315,480,0.028531252726024192,0.0114375
3832,2500,0.02855523118886083,0.0115
2648,2747,0.02855966185101977,0.0115625
1217,1167,0.028562975888490882,0.011625
2538,2606,0.02866492014344857,0.0116875
6361,2074,0.02870631841621929,0.01175
1874,1938,0.028726296068818158,0.0118125
2913,2972,0.028734885512349706,0.011875
2166,1844,0.02877977757520256,0.0119375
3083,3282,0.02888214014117807,0.012
2268,2435,0.028934479136061952,0.0120625
3258,3536,0.029054585551335776,0.012125
2657,2884,0.029065566115598074,0.0121875
1954,1396,0.02909654727898925,0.01225
736,850,0.029213332069296882,0.0123125
2874,3024,0.02936363149309784,0.012375
1541,1537,0.029423341067968067,0.0124375
137,299,0.029431428394462777,0.0125
1692,1976,0.029440614394957265,0.0125625
1151,1287,0.029712200565096936,0.012625
1536,1660,0.029734615013978782,0.0126875
2433,2638,0.029763198510806887,0.01275
2868,2946,0.029790611880272877,0.0128125
191,291,0.02983653036493905,0.012875
236,226,0.029882074719053797,0.0129375
299,375,0.02991411119756826,0.013
1346,1468,0.029943424254849305,0.0130625
1959,2205,0.03006024337618385,0.013125
1482,1505,0.030123498029801965,0.0131875
6357,3047,0.030180428026000072,0.01325
8306,2563,0.030185906303621834,0.0133125
6910,2050,0.030206650390589118,0.013375
3168,3043,0.030207529454571613,0.0134375
720,320,0.030214712347684802,0.0135
2226,2546,0.030385049609577663,0.0135625
3093,3082,0.030427891651243044,0.013625
5485,2608,0.030463056154552248,0.0136875
1590,1905,0.03053818736105285,0.01375
1987,2204,0.03062682561380825,0.0138125
717,937,0.030629765365670636,0.013875
228,138,0.03065300705445706,0.0139375
1595,1846,0.030667683346393915,0.014
1142,927,0.030674910191923033,0.0140625
1402,1432,0.030729226617761896,0.014125
3293,3560,0.030755638130784746,0.0141875
3802,3822,0.030807161670921346,0.01425
778,780,0.03083245999902573,0.0143125
2519,1533,0.03084083560913342,0.014375
