,Request Id,request_execution_plus_preemption_time,cdf
242,751,0.12975445892386164,6.25e-05
3625,4073,0.41813478431084916,0.000125
10554,11214,0.4796656482697193,0.0001875
7862,8536,0.5143351589954701,0.00025
10105,10509,0.5357331735154546,0.0003125
11389,11789,0.5726059901364431,0.000375
13043,13361,0.6344968152216874,0.0004375
12355,13030,0.6547193653718824,0.0005
5430,6032,0.6831036682045503,0.0005625
406,888,0.6889300150696642,0.000625
14768,15538,0.7166340175731865,0.0006875
5260,5848,0.7320151081637702,0.00075
15718,15999,0.7397021165108784,0.0008125
6036,6379,0.7413871747714584,0.000875
10541,11148,0.7555991807247333,0.0009375
4512,5076,0.7636535501502402,0.001
8439,9122,0.7980389600977935,0.0010625
6655,6949,0.8109621699886451,0.001125
11469,11853,0.854888839258078,0.0011875
4163,4686,0.8661439065412969,0.00125
3485,4032,0.8682014552777693,0.0013125
3359,3795,0.8752917997475772,0.001375
10296,10535,0.8918628402870743,0.0014375
12190,12491,0.8975279895886147,0.0015
1625,2120,0.8981280159390819,0.0015625
13547,14238,0.9006453671734462,0.001625
160,642,0.9039039938807905,0.0016875
6478,6775,0.9144483493814284,0.00175
6997,7610,0.9243527776968576,0.0018125
1823,2277,0.9702108023945124,0.001875
9620,9973,0.9717422160686042,0.0019375
5486,6072,0.9777170999165244,0.002
11489,12114,0.9930094165059882,0.0020625
9709,10352,1.0256594515622046,0.002125
12680,13240,1.0501566229980381,0.0021875
11273,11864,1.0634184654107508,0.00225
15196,15471,1.0687820958605554,0.0023125
6833,7121,1.0752546270879442,0.002375
12814,13450,1.077513460614976,0.0024375
3746,4246,1.0779298286028385,0.0025
15038,15303,1.0946940307611714,0.0025625
12435,12735,1.1028518299589967,0.002625
2,131,1.1215408864293033,0.0026875
4634,5023,1.1223498461985781,0.00275
8083,8734,1.1274677103095496,0.0028125
13363,13683,1.1472251291082352,0.002875
3953,4472,1.1869729800804172,0.0029375
8389,8607,1.1883196597932255,0.003
5820,6139,1.1937334349491426,0.0030625
4,154,1.1957891351101186,0.003125
3620,4090,1.2048941024571276,0.0031875
12619,13254,1.2083845342883373,0.00325
116,569,1.2090354064768833,0.0033125
8873,9504,1.217903958467669,0.003375
183,627,1.2182691699845172,0.0034375
735,1200,1.2185350371776764,0.0035
10662,11045,1.219383585270656,0.0035625
12396,13046,1.2308027229011484,0.003625
2633,3071,1.2341508727870776,0.0036875
8378,8599,1.2351627580467317,0.00375
15460,15992,1.235782658898439,0.0038125
6611,6897,1.236094337596548,0.003875
5753,6350,1.2375887249263369,0.0039375
12723,13041,1.2414079787177847,0.004
7,168,1.2441833226834844,0.0040625
10977,11227,1.2572278067438403,0.004125
5399,5982,1.260450663542268,0.0041875
11571,12182,1.261968515495347,0.00425
2690,3176,1.2786014870080684,0.0043125
7347,7607,1.2817366759377717,0.004375
4390,4781,1.2855473456739064,0.0044375
13231,13772,1.2869534891971932,0.0045
11296,11876,1.2895996242438896,0.0045625
10451,11020,1.2982488361989635,0.004625
119,560,1.3069017077766443,0.0046875
6143,6449,1.3143842255792548,0.00475
8157,8379,1.3151487224270462,0.0048125
3159,3571,1.3166467015276724,0.004875
15638,15865,1.3185750395264653,0.0049375
2932,3335,1.3194355906431823,0.005
6237,6539,1.321110095137633,0.0050625
5515,5835,1.332498349074485,0.005125
5248,5589,1.3364022710355468,0.0051875
12022,12299,1.3424529097854636,0.00525
6402,7024,1.3442463341834916,0.0053125
10215,10589,1.3497841239249504,0.005375
2972,3393,1.3520343880178178,0.0054375
4278,4665,1.3532069538547917,0.0055
14703,15434,1.3539204668032405,0.0055625
9081,9299,1.3581459653385084,0.005625
15591,15805,1.3592599708049822,0.0056875
5444,6016,1.3647997200648763,0.00575
4628,5007,1.368513672753439,0.0058125
1549,2014,1.3719375380892749,0.005875
4702,5057,1.3745106793073143,0.0059375
15711,15977,1.375317051571051,0.006
13572,14246,1.381022909183907,0.0060625
6075,6684,1.3841717980012653,0.006125
3437,3898,1.3847646653433963,0.0061875
6583,7216,1.3866359537939426,0.00625
3375,3797,1.3990626748547281,0.0063125
8628,8957,1.403313920999623,0.006375
12541,12839,1.409075975437717,0.0064375
1681,2087,1.4118698417600808,0.0065
10091,10688,1.4149591755938158,0.0065625
2290,2719,1.4166971568970566,0.006625
12460,13020,1.417509365349207,0.0066875
11573,11937,1.4176039774994886,0.00675
12828,13380,1.4233504662562997,0.0068125
7935,8249,1.426650728357847,0.006875
8945,9265,1.427478640558964,0.0069375
9915,10508,1.4316257125651817,0.007
15714,15981,1.4347742178869993,0.0070625
12867,13494,1.4386093924893972,0.007125
4827,5378,1.4409785837516054,0.0071875
7720,8021,1.444780667427161,0.00725
2838,3249,1.4483817329901378,0.0073125
6750,7017,1.4487791506674559,0.007375
5040,5389,1.4495848658893196,0.0074375
7416,7687,1.4501348191289236,0.0075
2333,2759,1.4540342939463538,0.0075625
4835,5191,1.454637092719541,0.007625
7137,7784,1.4562945403534298,0.0076875
10726,11304,1.4626846798721749,0.00775
9317,9942,1.463408893520461,0.0078125
1395,1849,1.4663121493202653,0.007875
13911,14201,1.4700529421130017,0.0079375
3743,4111,1.4715579916911647,0.008
9660,9989,1.4739266599231513,0.0080625
9680,9899,1.4744818603645136,0.008125
9383,10018,1.4753808602055978,0.0081875
8707,9362,1.4798848494849977,0.00825
4123,4517,1.4885705661737454,0.0083125
960,1394,1.4905674555276527,0.008375
5805,6121,1.4931233157301533,0.0084375
15618,15833,1.499778451533401,0.0085
11484,11841,1.5084651333264376,0.0085625
10859,11428,1.50880320769578,0.008625
6468,6749,1.5099863925429842,0.0086875
415,845,1.510082247825015,0.00875
4022,4383,1.5164461016552588,0.0088125
14233,14752,1.5224443434133996,0.008875
3565,3959,1.5233656977449457,0.0089375
8024,8235,1.525916390020529,0.009
15443,15956,1.529157286380997,0.0090625
7429,7695,1.5319683037949638,0.009125
12700,13013,1.5336271030920725,0.0091875
13593,14262,1.5338859286495234,0.00925
12929,13464,1.543261124759967,0.0093125
8815,9458,1.544584044096051,0.009375
390,809,1.545303049288691,0.0094375
14872,15139,1.5492387919496964,0.0095
