,Request Id,request_preemption_time,cdf
15718,15999,0.0,6.25e-05
242,751,0.005360724636863878,0.000125
15297,15998,0.013993124917647037,0.0001875
15460,15992,0.034515794064930105,0.00025
15773,15995,0.13192447253641149,0.0003125
10554,11214,0.1446024146541447,0.000375
15714,15981,0.15095407527496718,0.0004375
11389,11789,0.15766175670768234,0.0005
3625,4073,0.15783527699858269,0.0005625
15514,15980,0.15913418337891017,0.000625
15741,15983,0.16263509971201984,0.0006875
15711,15977,0.16964002930069455,0.00075
8439,9122,0.19239585799050474,0.0008125
6036,6379,0.21911892044232673,0.000875
7862,8536,0.21984909643728656,0.0009375
5430,6032,0.22534781801496706,0.001
15589,15996,0.22560493246800206,0.0010625
15365,15990,0.22599641387330394,0.001125
14768,15538,0.22690016354118825,0.0011875
15525,15972,0.2347772913212225,0.00125
12355,13030,0.2395881387046188,0.0013125
6655,6949,0.24539348239125047,0.001375
15798,15993,0.26406749190743994,0.0014375
15777,15985,0.2738515137071431,0.0015
15721,15965,0.27545620097708934,0.0015625
3359,3795,0.2780111294544554,0.001625
9709,10352,0.28064510602914083,0.0016875
15584,15984,0.28921972292113196,0.00175
11469,11853,0.296454245304858,0.0018125
15466,15968,0.3014496975272891,0.001875
10541,11148,0.3041033733745735,0.0019375
406,888,0.3049445181145156,0.002
10105,10509,0.31032748672930666,0.0020625
13043,13361,0.31427598716538796,0.002125
13547,14238,0.3190028573343966,0.0021875
15273,15970,0.3240115457475099,0.00225
15403,15994,0.33293516846117654,0.0023125
15757,15969,0.3338441835896333,0.002375
15333,15974,0.33624240433221075,0.0024375
15488,15964,0.3397609291628214,0.0025
3485,4032,0.3420227673744449,0.0025625
12190,12491,0.34286849190942803,0.002625
15196,15471,0.34426396818292915,0.0026875
5486,6072,0.34854850552746086,0.00275
4163,4686,0.34963113245308364,0.0028125
5820,6139,0.3552601105174631,0.002875
15323,15966,0.3565151591481026,0.0029375
4512,5076,0.35802847279869354,0.003
8389,8607,0.3649441125030819,0.0030625
10296,10535,0.37240291663798075,0.003125
11489,12114,0.373534181634227,0.0031875
6478,6775,0.37784101401814496,0.00325
8378,8599,0.3840856578511307,0.0033125
15719,15957,0.38582261824956277,0.003375
15754,15961,0.3881489558240787,0.0034375
5260,5848,0.39466616391823095,0.0035
160,642,0.39962269263404515,0.0035625
6143,6449,0.4143816489142296,0.003625
10977,11227,0.4331897161880818,0.0036875
6611,6897,0.43595098104333374,0.00375
8873,9504,0.4364277624117392,0.0038125
15443,15956,0.4385950069926139,0.003875
15302,15958,0.44052862204722487,0.0039375
12396,13046,0.4497771321608184,0.004
3746,4246,0.4513335560499314,0.0040625
15725,15953,0.4548665804346115,0.004125
6833,7121,0.45535721625677184,0.0041875
15455,15952,0.4566619238955809,0.00425
9620,9973,0.4569540197737183,0.0043125
15598,15976,0.46259818863410374,0.004375
8628,8957,0.4629796972560314,0.0044375
1823,2277,0.4636779998432843,0.0045
1625,2120,0.46945805675799335,0.0045625
6583,7216,0.47148759895006265,0.004625
15038,15303,0.48296076189154746,0.0046875
12680,13240,0.4846092134072819,0.00475
6997,7610,0.48470702713794367,0.0048125
116,569,0.4909472610082144,0.004875
10215,10589,0.4986966323724573,0.0049375
15524,15948,0.49886510783005633,0.005
3375,3797,0.5024370276217809,0.0050625
15788,15959,0.508706942924448,0.005125
4634,5023,0.5157120334230569,0.0051875
15310,15954,0.5196091233685252,0.00525
13363,13683,0.5204839025835781,0.0053125
735,1200,0.5208143422353793,0.005375
6237,6539,0.5209109825682958,0.0054375
183,627,0.5231277366808591,0.0055
6061,6367,0.5291382857661517,0.0055625
5248,5589,0.5325308741291792,0.005625
4827,5378,0.5338082606564711,0.0056875
6402,7024,0.5387565527666425,0.00575
9296,9495,0.5399309277656528,0.0058125
4390,4781,0.5420561612711907,0.005875
12619,13254,0.5506582360412153,0.0059375
3953,4472,0.5506963394467448,0.006
2690,3176,0.5527289522051859,0.0060625
15723,15945,0.5545639595162015,0.006125
119,560,0.5567488105120191,0.0061875
15512,15940,0.5604427203506361,0.00625
5399,5982,0.5642418943813823,0.0063125
3437,3898,0.5652740473147588,0.006375
8083,8734,0.566592680491766,0.0064375
13572,14246,0.5687996443453471,0.0065
3209,3696,0.5709850625632669,0.0065625
13911,14201,0.5720106915961765,0.006625
10859,11428,0.5722671373711421,0.0066875
12814,13450,0.5734689339308261,0.00675
4628,5007,0.5781681504283398,0.0068125
1549,2014,0.5812154618703289,0.006875
3225,3635,0.5831450239767975,0.0069375
5444,6016,0.5842053825904259,0.007
2333,2759,0.5858417386394237,0.0070625
4835,5191,0.5877227841812527,0.007125
8707,9362,0.5886739526994518,0.0071875
12867,13494,0.5898343702918396,0.00725
15764,15947,0.5920595319346376,0.0073125
10662,11045,0.5927811302381656,0.007375
5190,5535,0.5949625807273264,0.0074375
7137,7784,0.5952880712130479,0.0075
5805,6121,0.5969226919120558,0.0075625
12828,13380,0.5983549525375906,0.007625
3210,3623,0.5999538311820345,0.0076875
15591,15805,0.6016487361347345,0.00775
8880,9201,0.6036253795140283,0.0078125
11484,11841,0.6062722262052489,0.007875
9081,9299,0.6065730113893721,0.0079375
11571,12182,0.6072807522289168,0.008
13022,13305,0.6082557370542077,0.0080625
4,154,0.6086314535467672,0.008125
12541,12839,0.6101557341430635,0.0081875
15487,15936,0.6116168314294441,0.00825
3159,3571,0.6125320567095258,0.0083125
6750,7017,0.6134453611705055,0.008375
12435,12735,0.6134705050428693,0.0084375
9915,10508,0.6148418542486525,0.0085
15343,15950,0.6160316171270779,0.0085625
5632,5953,0.6171892504161036,0.008625
7935,8249,0.6193436029560075,0.0086875
3118,3537,0.620207881835185,0.00875
3743,4111,0.6215582589047273,0.0088125
11273,11864,0.6215715811402447,0.008875
