,Request Id,prefill_e2e_time,cdf
29,7,0.4070684772588444,0.0001528350909368791
99,6,0.4247234012636243,0.0003056701818737582
27,38,0.4335462528050984,0.0004585052728106373
1051,39,0.45058203344002035,0.0006113403637475164
175,0,0.45757523432248487,0.0007641754546843956
6,5,0.47856426945972697,0.0009170105456212746
47,86,0.4986333732109678,0.0010698456365581537
76,4,0.5270392775224695,0.0012226807274950328
103,1,0.5430770733414502,0.001375515818431912
89,2,0.5433536208906565,0.0015283509093687911
28,78,0.5513836948037198,0.00168118600030567
184,10,0.5514351047476004,0.0018340210912425492
30,11,0.5730256637290965,0.0019868561821794286
34,66,0.5809108144490129,0.0021396912731163073
7,3,0.5939073160917536,0.0022925263640531865
36,17,0.6127733000930632,0.0024453614549900657
355,9,0.6251179635567756,0.002598196545926945
0,8,0.6302012049103084,0.002751031636863824
218,37,0.638781565729027,0.002903866727800703
54,43,0.6406878109925964,0.0030567018187375823
12,33,0.6582271452341135,0.0032095369096744614
11,74,0.6842733417823466,0.00336237200061134
69,41,0.6876419688099449,0.0035152070915482193
18,34,0.6881540341048793,0.0036680421824850985
159,81,0.6885061090179949,0.0038208772734219776
16,53,0.7014668363756438,0.003973712364358857
5,82,0.7083792504162405,0.0041265474552957355
59,77,0.7091737189758431,0.004279382546232615
17,13,0.7111745691769042,0.004432217637169494
23,62,0.7269982333150962,0.004585052728106373
10,61,0.731444528678789,0.004737887819043252
15,30,0.7479378656298088,0.004890722909980131
35,35,0.7649723065348726,0.0050435580009170105
386,85,0.7656907213749857,0.00519639309185389
90,55,0.7742461881436875,0.005349228182790769
67,29,0.7830645875406514,0.005502063273727648
105,22,0.7910740178571021,0.005654898364664527
39,15,0.7940900496384556,0.005807733455601406
74,21,0.7955169774235431,0.005960568546538285
79,47,0.7955847713094024,0.0061134036374751646
2,65,0.7969063001439651,0.006266238728412044
1,25,0.8039727276702049,0.006419073819348923
24,24,0.8045913317279136,0.006571908910285802
1014,75,0.8071441720453718,0.00672474400122268
45,73,0.822071837650693,0.0068775790921595595
85,14,0.825345151548527,0.007030414183096439
3,42,0.8285223544544627,0.007183249274033318
37,45,0.8320721632143115,0.007336084364970197
50,54,0.8328548323114022,0.007488919455907076
71,19,0.8476135114349216,0.007641754546843955
25,59,0.8542214110228867,0.007794589637780834
22,57,0.8629055886753405,0.007947424728717714
20,46,0.8656813500193601,0.008100259819654593
33,28,0.8701638337163446,0.008253094910591471
58,63,0.872615833252008,0.008405930001528351
61,18,0.8728010677484621,0.00855876509246523
95,40,0.8759831751046225,0.00871160018340211
62,67,0.8850802573212317,0.008864435274338988
64,12,0.8876402805668988,0.009017270365275868
132,70,0.8908441929236894,0.009170105456212746
41,26,0.8921953370068099,0.009322940547149626
8,58,0.8980455164857228,0.009475775638086504
21,36,0.8980908782944677,0.009628610729023384
4,20,0.9146146174391635,0.009781445819960263
56,49,0.9369139227001253,0.009934280910897143
80,31,0.9406391312445748,0.010087116001834021
73,16,0.9574127748138632,0.010239951092770901
548,50,0.9656263987800178,0.01039278618370778
14,51,0.9723805952141,0.01054562127464466
9,32,0.9792623742903868,0.010698456365581538
115,23,0.9795906624440682,0.010851291456518416
26,69,0.9900891131570821,0.011004126547455296
1198,48,0.9985330263305161,0.011156961638392174
32,71,1.0019984383864027,0.011309796729329054
51,27,1.0092015824421219,0.011462631820265932
43,72,1.0239344234518057,0.011615466911202812
53,44,1.0799381146089293,0.01176830200213969
19,83,1.0919027428015164,0.01192113709307657
72,79,1.1128529162143357,0.012073972184013449
55,60,1.1384663975721745,0.012226807274950329
57,64,1.1930017890881794,0.012379642365887207
63,68,1.2442855907232446,0.012532477456824087
13,52,1.2498808561327959,0.012685312547760966
100,56,1.2677965519217693,0.012838147638697846
31,89,2.8310364710875033,0.012990982729634724
86,93,3.139787892207293,0.013143817820571604
102,76,3.5568057627445073,0.013296652911508482
151,90,3.6566261132604945,0.01344948800244536
42,97,4.013821339635157,0.01360232309338224
38,94,4.123180567224011,0.013755158184319119
170,80,4.1786116665626665,0.013907993275255999
68,98,4.80224558176865,0.014060828366192877
46,87,5.1801488357557375,0.014213663457129757
49,101,5.519725461688399,0.014366498548066636
60,105,6.150969950967035,0.014519333639003516
109,102,6.269927571650903,0.014672168729940394
84,84,6.284687199579251,0.014825003820877274
96,106,6.7228841905124925,0.014977838911814152
83,109,7.2860605273162715,0.015130674002751032
66,91,7.451878773030424,0.01528350909368791
110,88,7.508579755698226,0.01543634418462479
48,110,7.739515722877503,0.015589179275561669
87,113,8.42629211234993,0.01574201436649855
44,95,8.482248824282525,0.01589484945743543
52,117,8.829137133603975,0.016047684548372305
70,92,9.566796569090563,0.016200519639309185
77,114,9.583825154710656,0.016353354730246066
274,121,9.65087384691935,0.016506189821182942
127,99,9.73866698474652,0.016659024912119822
40,96,10.035441137255958,0.016811860003056702
108,103,10.08550246128415,0.016964695093993582
75,118,10.766497634971408,0.01711753018493046
122,111,10.951933508373028,0.01727036527586734
153,115,11.103133685733166,0.01742320036680422
133,107,11.122380258070764,0.0175760354577411
106,125,11.392483795805354,0.017728870548677975
101,122,11.455940475567216,0.017881705639614855
130,119,11.64916611916344,0.018034540730551735
117,130,11.701038782046961,0.018187375821488615
97,100,11.707126989683752,0.018340210912425492
81,126,12.0547416126346,0.018493046003362372
124,129,12.069637689507267,0.018645881094299252
98,133,12.224633201271846,0.01879871618523613
138,138,12.44290136559218,0.01895155127617301
111,134,12.582203936827618,0.01910438636710989
131,104,13.02260999808135,0.01925722145804677
78,142,13.134494976872874,0.019410056548983645
82,108,13.313919826096564,0.019562891639920525
93,123,13.41708794501294,0.019715726730857405
118,141,13.5572649322186,0.019868561821794285
112,137,13.659912187996154,0.020021396912731162
65,131,13.99204310099519,0.020174232003668042
104,135,14.19241226039026,0.020327067094604922
144,127,14.195876082460728,0.020479902185541802
231,139,14.59882223145888,0.02063273727647868
149,145,14.89614586209509,0.02078557236741556
137,149,14.973925090961872,0.02093840745835244
94,146,15.068335245594744,0.02109124254928932
221,112,15.302686536357065,0.021244077640226195
134,143,15.391689788389908,0.021396912731163075
123,120,16.095637987375497,0.021549747822099955
92,116,16.131586836771795,0.02170258291303683
161,147,16.238093103579537,0.02185541800397371
88,154,16.33985874278749,0.02200825309491059
338,150,16.42712093482718,0.022161088185847472
162,153,16.45981519422858,0.02231392327678435
91,124,16.495102272008403,0.02246675836772123
236,155,17.059745106642442,0.02261959345865811
120,151,17.074974640475013,0.02277242854959499
140,128,17.10227798164235,0.022925263640531865
119,158,17.155177328294226,0.023078098731468745
114,157,17.23521319867453,0.023230933822405625
141,159,17.32329389311122,0.023383768913342505
176,132,17.761786000925557,0.02353660400427938
121,166,17.76616950550481,0.02368943909521626
163,162,17.85093452924025,0.02384227418615314
195,136,18.078671413685818,0.023995109277090018
126,170,18.118246456972255,0.024147944368026898
146,140,18.46283907560749,0.024300779458963778
156,163,18.676642349705787,0.024453614549900658
181,174,18.746541062128152,0.024606449640837535
1117,169,19.152434945299625,0.024759284731774415
116,177,19.198729986557346,0.024912119822711295
145,165,19.26246040099678,0.025064954913648175
125,173,19.27098600044676,0.02521779000458505
154,182,19.32667407242584,0.02537062509552193
128,161,19.387298638833364,0.02552346018645881
113,178,19.556919485424956,0.02567629527739569
135,190,19.948893270508535,0.025829130368332568
300,167,20.02283182038734,0.025981965459269448
225,186,20.051403714465522,0.026134800550206328
158,194,20.393977516655724,0.026287635641143208
152,144,20.64652296265697,0.026440470732080085
188,171,20.98516458311967,0.026593305823016965
143,202,21.13554323069025,0.026746140913953845
164,198,21.17455688393699,0.02689897600489072
136,148,21.20621928690619,0.0270518110958276
148,206,21.546279205979857,0.02720464618676448
155,152,21.774182888724432,0.02735748127770136
406,156,22.113037840304486,0.027510316368638238
178,181,22.15807809513558,0.027663151459575118
129,160,22.31885119831196,0.027815986550511998
172,164,22.599850134284857,0.027968821641448878
211,210,22.72059793191012,0.028121656732385755
173,185,22.89444837879276,0.028274491823322635
107,168,23.163761161307576,0.028427326914259515
142,172,23.350856447500668,0.028580162005196395
1201,218,23.477344533679016,0.02873299709613327
139,222,23.492401927983906,0.02888583218707015
180,226,23.657222473939235,0.02903866727800703
213,189,23.672110901022585,0.029191502368943908
798,234,23.75870737344183,0.029344337459880788
168,214,23.765076457187295,0.029497172550817668
179,230,23.91509894409595,0.029650007641754548
160,176,24.563649953971307,0.029802842732691424
147,238,24.797452832718346,0.029955677823628304
169,193,24.80714032851722,0.030108512914565184
200,175,24.90624443821647,0.030261348005502064
166,197,25.446462220777587,0.03041418309643894
167,180,25.47414034795939,0.03056701818737582
150,201,25.872886640575803,0.0307198532783127
157,179,27.0874480546212,0.03087268836924958
267,191,27.25976766949945,0.031025523460186458
949,187,27.364815198000056,0.031178358551123338
191,183,27.50414152277896,0.03133119364206022
187,205,27.75566355593999,0.0314840287329971
214,242,27.759150583408328,0.03163686382393398
174,209,28.08553981956297,0.03178969891487086
277,195,28.120215771024313,0.03194253400580773
182,217,28.374308250290692,0.03209536909674461
165,213,28.590466387276887,0.03224820418768149
207,203,28.850586851619823,0.03240103927861837
193,254,28.854425777785494,0.03255387436955525
202,246,29.086999902185944,0.03270670946049213
197,250,29.17205736913185,0.03285954455142901
212,199,29.255168622969293,0.033012379642365884
186,262,29.722692650078592,0.033165214733302764
216,207,29.986016471577255,0.033318049824239644
177,258,30.024947310425144,0.033470884915176524
229,266,30.270640336070578,0.033623720006113404
171,211,30.499568137560935,0.033776555097050284
190,270,30.637253354924514,0.033929390187987164
248,274,30.929687096811165,0.034082225278924044
198,184,31.108068403723088,0.03423506036986092
208,215,31.354238000140224,0.0343878954607978
244,188,31.501228696952495,0.03454073055173468
976,223,31.75632294593408,0.03469356564267156
223,219,32.040378824486254,0.03484640073360844
203,221,32.146554135227944,0.03499923582454532
226,192,32.195130673711475,0.0351520709154822
252,282,32.51343242299103,0.03530490600641907
210,196,32.552966952064224,0.03545774109735595
194,237,32.55714084637753,0.03561057618829283
232,278,32.56657063439353,0.03576341127922971
269,229,32.56805310554803,0.03591624637016659
201,233,32.737665182498525,0.03606908146110347
224,225,32.77240166163924,0.03622191655204035
199,200,33.22789472383554,0.03637475164297723
219,286,33.40669611893274,0.036527586733914104
433,204,33.412775541265326,0.036680421824850984
185,243,33.53336061881512,0.036833256915787864
205,239,33.572992051718366,0.036986092006724744
448,235,33.72156961071365,0.037138927097661624
237,247,33.7551901934516,0.037291762188598504
1097,231,33.873093970841296,0.037444597279535384
228,251,33.91293794483548,0.03759743237047226
253,227,34.00480569911287,0.03775026746140914
238,241,34.452321886765944,0.03790310255234602
183,208,34.511718773300615,0.0380559376432829
204,212,34.923659980995865,0.03820877273421978
242,245,34.98077542161671,0.03836160782515666
240,290,35.45757460050388,0.03851444291609354
245,216,35.59131040688121,0.03866727800703042
266,294,35.619845642948704,0.03882011309796729
227,249,36.04348300310869,0.03897294818890417
222,298,36.44773257775678,0.03912578327984105
215,224,36.55843258475956,0.03927861837077793
254,220,36.58154148094292,0.03943145346171481
206,302,36.67605288639481,0.03958428855265169
220,257,37.002329361376276,0.03973712364358857
249,253,37.141210766161585,0.039889958734525444
290,306,37.250311581536764,0.040042793825462324
189,261,37.30929248483089,0.040195628916399204
230,232,37.52989715973233,0.040348464007336084
341,228,37.55737888839646,0.040501299098272964
217,236,37.85918448741693,0.040654134189209844
192,240,38.063826901757565,0.040806969280146724
298,310,38.28926304935875,0.040959804371083604
209,265,38.44523052623098,0.04111263946202048
234,314,39.67607998269926,0.04126547455295736
279,248,39.98568949399855,0.04141830964389424
257,244,40.01339365328113,0.04157114473483112
196,255,40.1263843372684,0.041723979825768
261,318,40.53661434626858,0.04187681491670488
350,269,40.582586293801896,0.04202965000764176
322,322,41.09279558675353,0.04218248509857864
255,273,41.12201604119437,0.04233532018951551
243,263,41.66200523088493,0.04248815528045239
258,259,41.84897162709836,0.04264099037138927
241,326,41.85299580775785,0.04279382546232615
380,330,41.991132167762146,0.04294666055326303
282,267,42.444414882298865,0.04309949564419991
294,346,42.93319280840131,0.04325233073513679
256,334,42.99825288723215,0.04340516582607366
250,275,43.06359185334084,0.04355800091701054
246,350,43.07250039107163,0.04371083600794742
311,277,43.162845089603024,0.0438636710988843
260,271,43.28306259133209,0.04401650618982118
950,342,43.283828946094886,0.044169341280758063
