,Time (sec),request_completion
0,30.474579713215395,1
1,30.866762871131854,2
2,31.272981167388306,3
3,31.64594991730562,4
4,31.84940236501661,5
5,32.22803535708859,6
6,32.267613833081114,7
7,32.553657174717365,8
8,32.805697584010815,9
9,32.89771026708181,10
10,33.35867648542524,11
11,33.41577592910911,12
12,33.948837302722325,13
13,34.06384026894436,14
14,34.604167686225516,15
15,34.73123454995023,16
16,35.039953337090324,17
17,35.24087033117963,18
18,35.55132373521204,19
19,35.80193509542241,20
20,36.06886581364889,21
21,36.40825298226129,22
22,36.73336086130793,23
23,36.84929788776362,24
24,36.86218478645938,25
25,36.91654149140091,26
26,37.24277575958379,27
27,37.24277575958379,28
28,37.526495560297455,29
29,38.06026244854909,30
30,38.10248123159467,31
31,38.40195977909804,32
32,38.548613230952725,33
33,38.83744705905031,34
34,38.85333855595149,35
35,39.2249106959097,36
36,39.23779759460546,37
37,39.3312981200336,38
38,39.57264854511398,39
39,39.81627312548482,40
40,39.91806879273657,41
41,40.15765565757796,42
42,40.28012482885952,43
43,40.37583703861954,44
44,40.61855505092979,45
45,40.631653044025555,46
46,40.782352963429936,47
47,41.152700482759506,48
48,41.32183809456345,49
49,41.32709825919602,50
50,41.32709825919602,51
51,41.33495108285921,52
52,41.75578926212593,53
53,41.75578926212593,54
54,42.182738748209566,55
55,42.67368379665304,56
56,42.67368379665304,57
57,42.67368379665304,58
58,42.72817770521997,59
59,42.72817770521997,60
60,43.17137468933031,61
61,43.48056670361974,62
62,43.564008914103574,63
63,43.57679264159934,64
64,43.747746520374044,65
65,44.14553200841178,66
66,44.21419584375663,67
67,44.45582922800082,68
68,44.50705911249531,69
69,45.0537299102375,70
70,45.06687838013326,71
71,45.06687838013326,72
72,45.07514027507277,73
73,45.639598505712534,74
74,45.756968184113866,75
75,46.20118396171297,76
76,46.202194600502395,77
77,46.73662719759993,78
78,46.77952430739715,79
79,46.792174858240514,80
80,47.29724843760472,81
81,47.309832460448085,82
82,47.309832460448085,83
83,47.33977192095652,84
84,47.33977192095652,85
85,47.865165901636736,86
86,48.220600534260214,87
87,48.37638500500891,88
88,48.6578010609134,89
89,48.6578010609134,90
90,48.6578010609134,91
91,48.6578010609134,92
92,48.716123145310995,93
93,48.729169922406754,94
94,49.252922150402384,95
95,49.695960540962176,96
96,49.708726527657944,97
97,49.748275167401985,98
