,Request Id,request_e2e_time_normalized,cdf
15996,15877,0.006479899121500764,6.25e-05
15983,15978,0.006597704429933484,0.000125
15986,15971,0.006622759346140243,0.0001875
15988,15872,0.006959764354327359,0.00025
304,398,0.007176661521124006,0.0003125
15985,15804,0.0072546453299171,0.000375
15999,15991,0.00728877671632846,0.0004375
13969,14116,0.007370119350174884,0.0005
336,366,0.007519924758572671,0.0005625
130,190,0.007742163667467638,0.000625
6,7,0.007875059410393187,0.0006875
15979,15584,0.007903400780203377,0.00075
164,174,0.00805964221687281,0.0008125
15995,15656,0.008122802857447885,0.000875
5,13,0.008189940991576541,0.0009375
1913,2026,0.008191890766907024,0.001
15913,15989,0.008260141649279499,0.0010625
8172,8274,0.008261639070757245,0.001125
1941,2042,0.008267364622296472,0.0011875
8153,8258,0.008330499673097189,0.00125
1874,1978,0.008411328764378443,0.0013125
15,46,0.008411667709670397,0.001375
12986,13009,0.008449321241232046,0.0014375
15893,15984,0.008451987449709009,0.0015
15998,15647,0.008453585929066004,0.0015625
15992,15364,0.008462799221002813,0.001625
15919,15781,0.008523989199972954,0.0016875
12882,12977,0.008526487328153328,0.00175
1997,2058,0.008539856243600328,0.0018125
239,312,0.00854000515377652,0.001875
15949,15988,0.00855802429524384,0.0019375
11,17,0.008590378589468447,0.002
270,334,0.00859187935409593,0.0020625
267,318,0.008608459950870196,0.002125
1942,2020,0.008627050363437248,0.0021875
15896,15973,0.008627921788701963,0.00225
15994,15288,0.008635594965618311,0.0023125
2677,2822,0.008646820314752638,0.002375
154,206,0.008654322982961603,0.0024375
347,382,0.008658894078063679,0.0025
903,989,0.008660202644850788,0.0025625
13769,13868,0.008677322463847826,0.002625
8008,8098,0.00867828361030106,0.0026875
741,780,0.008692532698409944,0.00275
48,6,0.008695698054888611,0.0028125
199,254,0.008699265361197014,0.002875
15650,15749,0.00870122295040301,0.0029375
7,30,0.008701557074853547,0.003
228,275,0.008706316857223895,0.0030625
8006,8082,0.008714603922662646,0.003125
15991,15550,0.008726411196241903,0.0031875
244,291,0.008736776921892769,0.00325
9,11,0.008767128341986076,0.0033125
15993,15414,0.008777482095838184,0.003375
40,14,0.008778586112548462,0.0034375
52,1,0.008817880170672279,0.0035
13018,13025,0.008835523212099893,0.0035625
38,29,0.008837171317866042,0.003625
0,5,0.008838125147165045,0.0036875
241,319,0.008841339827219987,0.00375
1728,1807,0.008855675447224305,0.0038125
217,186,0.008857392889876319,0.003875
8150,8162,0.008857562545489693,0.0039375
62,22,0.008869290300056518,0.004
203,250,0.008874904887044899,0.0040625
382,419,0.008881112641840576,0.004125
15976,15449,0.008884193732915541,0.0041875
5255,5392,0.00888971110096763,0.00425
797,716,0.008895565079552317,0.0043125
2688,2806,0.008898912414664182,0.004375
5217,5376,0.008900032811336011,0.0044375
1834,1976,0.008901763471986061,0.0045
15987,15655,0.008902264003750812,0.0045625
45,49,0.008907479427333128,0.004625
27,27,0.008910858042961675,0.0046875
6895,7037,0.008924559520719383,0.00475
11746,11868,0.008933405029942823,0.0048125
7991,8114,0.008935604100808953,0.004875
11752,11852,0.00894508213865892,0.0049375
15252,15342,0.008955909704781254,0.005
8102,8223,0.008960082956536409,0.0050625
303,303,0.008963986028173065,0.005125
2828,2950,0.008971697850588791,0.0051875
8123,8226,0.008995223448481922,0.00525
23,38,0.009004030820636444,0.0053125
1883,2010,0.009004062770223503,0.005375
298,360,0.009022599171652075,0.0054375
12175,12300,0.009024063957089708,0.0055
131,10,0.009047042555863713,0.0055625
845,955,0.009047200735403195,0.005625
8042,8146,0.009055807442154557,0.0056875
29,62,0.009065344842971232,0.00575
12093,12188,0.009090102668690689,0.0058125
15676,15765,0.00909032717782621,0.005875
32,45,0.009093381721241503,0.0059375
2714,2790,0.009102514153367535,0.006
15970,15625,0.009104767273368819,0.0060625
350,430,0.009107375769312137,0.006125
376,355,0.009120159907954603,0.0061875
139,138,0.00912040617974548,0.00625
295,287,0.00912676012175281,0.0063125
11845,11884,0.00912704809524537,0.006375
7085,7209,0.009132328898005188,0.0064375
47,43,0.009136714751676489,0.0065
871,948,0.009138979291846944,0.0065625
311,307,0.009161911253431979,0.006625
12057,12127,0.00916916173913965,0.0066875
7443,7503,0.009177830000188545,0.00675
814,908,0.0091948618974469,0.0068125
7400,7551,0.009203252198454649,0.006875
12142,12172,0.009205218359596022,0.0069375
15942,15987,0.00920568954091688,0.007
30,4,0.0092243079855534,0.0070625
151,202,0.009226538684948295,0.007125
2811,2934,0.00922862621699216,0.0071875
271,282,0.009230095010625005,0.00725
12119,12223,0.009244588865354987,0.0073125
108,158,0.009251881215186704,0.007375
12830,12929,0.00925465642272556,0.0074375
172,238,0.00925818774588691,0.0075
147,90,0.009265397309164458,0.0075625
847,861,0.009280657955039706,0.007625
12976,13121,0.009288184622678336,0.0076875
5601,5734,0.009288474551247207,0.00775
321,344,0.00929421027212139,0.0078125
8012,8050,0.00929602645679048,0.007875
12,24,0.00929676250199825,0.0079375
13761,13875,0.009299509021985841,0.008
12375,12476,0.009302970288219576,0.0080625
689,700,0.009303991078390259,0.008125
12160,12191,0.009304206330323002,0.0081875
6903,7021,0.009306338255047456,0.00825
8557,8690,0.009307876534052515,0.0083125
11822,11900,0.00930795364602649,0.008375
94,23,0.009308070912524712,0.0084375
11801,11916,0.009308274390721571,0.0085
15997,15661,0.009309652753466062,0.0085625
12148,12255,0.009317516050406423,0.008625
1871,1844,0.009320675751388322,0.0086875
754,833,0.009323864595899095,0.00875
327,323,0.009325157830365659,0.0088125
1681,1823,0.009325369949478102,0.008875
857,877,0.009328550874780421,0.0089375
33,59,0.009336513413033645,0.009
51,78,0.00933871902877976,0.0090625
1403,1528,0.009344813771414794,0.009125
12072,12111,0.009353597280960347,0.0091875
252,296,0.009354918801551836,0.00925
1774,1919,0.009358473554929303,0.0093125
15842,15941,0.009359499344706125,0.009375
15609,15733,0.00936195769495307,0.0094375
726,800,0.009364813571681282,0.0095
439,547,0.009364883405965146,0.0095625
483,451,0.009380518463571564,0.009625
5319,5440,0.009387717474889989,0.0096875
275,294,0.009392309908700946,0.00975
9489,9663,0.009395635935120654,0.0098125
11714,11836,0.00940014578074908,0.009875
37,19,0.009401513331217923,0.0099375
9916,10050,0.009404107612024695,0.01
15731,15797,0.009407773987369163,0.0100625
7959,8064,0.009411056321880953,0.010125
872,813,0.009417361121365696,0.0101875
274,288,0.00942028278558421,0.01025
7570,7615,0.009434321878616656,0.0103125
14072,14209,0.009436342250540318,0.010375
11817,11911,0.009439024593483671,0.0104375
15733,15813,0.00944476035800201,0.0105
9507,9599,0.009448584918738172,0.0105625
15235,15374,0.009448790582796594,0.010625
905,1000,0.009449082388802503,0.0106875
711,796,0.00944913885395044,0.01075
50,54,0.009450274208562986,0.0108125
7989,8130,0.009453319539026804,0.010875
8107,8210,0.009455624149354467,0.0109375
2992,3126,0.00946068461786581,0.011
82,55,0.009461268876410413,0.0110625
794,897,0.009462047054352562,0.011125
5216,5360,0.009463259461149676,0.0111875
8076,8191,0.009466432817367462,0.01125
1838,1962,0.009466610705160078,0.0113125
15916,15996,0.009467545317083865,0.011375
11892,11978,0.00946955613551271,0.0114375
3676,3782,0.009470402077101182,0.0115
96,122,0.009479358614194999,0.0115625
617,677,0.00947979322641937,0.011625
1791,1855,0.00948189750937956,0.0116875
12138,12239,0.009482322392467863,0.01175
259,191,0.009486385755058606,0.0118125
9901,9874,0.009489504732675352,0.011875
7537,7631,0.009491677713114655,0.0119375
4139,4198,0.00949546544707972,0.012
707,766,0.00949871626416018,0.0120625
687,748,0.00949887653989617,0.012125
12919,13057,0.009505550269505704,0.0121875
7532,7663,0.009507504944252313,0.01225
8115,8242,0.009515107113386625,0.0123125
8088,8207,0.00951557328616869,0.012375
458,552,0.009515982791419028,0.0124375
636,661,0.009524079079395512,0.0125
12472,12566,0.009524149303120165,0.0125625
5298,5408,0.009524989648321972,0.012625
9899,10021,0.00952539608772965,0.0126875
13689,13779,0.009526775337122578,0.01275
7121,7193,0.009527496884207428,0.0128125
9481,9631,0.009534970642481556,0.012875
461,531,0.009535489001117739,0.0129375
7520,7647,0.009535875973098558,0.013
1817,1924,0.009536078168522644,0.0130625
272,328,0.009539077115389942,0.013125
826,893,0.009541329971121903,0.0131875
8188,8306,0.009543563179707068,0.01325
