,Request Id,request_execution_time_normalized,cdf
15996,15877,0.006478362735126015,6.25e-05
15983,15978,0.006592086630785098,0.000125
15986,15971,0.0066197023224771724,0.0001875
15988,15872,0.006958595737076207,0.00025
304,398,0.00698169772177544,0.0003125
15985,15804,0.007253677274086936,0.000375
15999,15991,0.007286544890567822,0.0004375
13969,14116,0.0073357957072982295,0.0005
336,366,0.007513697210173107,0.0005625
130,190,0.007695647391673875,0.000625
6,7,0.007875059410393175,0.0006875
15979,15584,0.007901565874609691,0.00075
164,174,0.008053905903355705,0.0008125
15995,15656,0.008122553400205809,0.000875
1913,2026,0.008160890211009797,0.0009375
5,13,0.008189940991576543,0.001
15913,15989,0.008239348739921522,0.0010625
8172,8274,0.008245383482446172,0.001125
1941,2042,0.008246396144151995,0.0011875
8153,8258,0.008306816846678505,0.00125
1874,1978,0.008361430911909674,0.0013125
15,46,0.008393780149747882,0.001375
15893,15984,0.008409019107441695,0.0014375
12986,13009,0.008448388889256789,0.0015
15998,15647,0.008451083376644995,0.0015625
15992,15364,0.008459783154083788,0.001625
239,312,0.008459939355443003,0.0016875
12882,12977,0.008501306625928616,0.00175
15919,15781,0.008515743493395563,0.0018125
1997,2058,0.008531867444429695,0.001875
15949,15988,0.008552630461834595,0.0019375
11,17,0.008552844984033837,0.002
267,318,0.008557378319361438,0.0020625
270,334,0.008560360449653807,0.002125
1942,2020,0.008606162020256252,0.0021875
154,206,0.008609044204042848,0.00225
15896,15973,0.008616663207915267,0.0023125
2677,2822,0.00863441988825164,0.002375
228,275,0.00863489615786319,0.0024375
15994,15288,0.008635183944385626,0.0025
347,382,0.008650404166417262,0.0025625
199,254,0.008650661692654433,0.002625
8008,8098,0.008652610317561185,0.0026875
903,989,0.008660035925367427,0.00275
13769,13868,0.008673900426921021,0.0028125
741,780,0.008679326076386745,0.002875
7,30,0.008681014613260112,0.0029375
244,291,0.008691113976127759,0.003
15650,15749,0.008691270462841108,0.0030625
48,6,0.008695698054888608,0.003125
8006,8082,0.00870856934898741,0.0031875
15991,15550,0.008725654046057237,0.00325
9,11,0.008767128341986079,0.0033125
15993,15414,0.008777112258661759,0.003375
40,14,0.008778586112548475,0.0034375
241,319,0.008811143185618493,0.0035
52,1,0.008817880170672279,0.0035625
13018,13025,0.008820770736355666,0.003625
38,29,0.00883177557723005,0.0036875
203,250,0.00883407657348033,0.00375
0,5,0.008838125147165045,0.0038125
8150,8162,0.008841318884469518,0.003875
1728,1807,0.008844093769988097,0.0039375
217,186,0.008855422666665133,0.004
62,22,0.00885754155226953,0.0040625
1834,1976,0.008867996137914873,0.004125
45,49,0.008878240206495653,0.0041875
382,419,0.008880104164112673,0.00425
15976,15449,0.008880758699477383,0.0043125
797,716,0.008883001866671366,0.004375
2688,2806,0.008883829797018688,0.0044375
5255,5392,0.008887627655767512,0.0045
8102,8223,0.008890022369982802,0.0045625
7991,8114,0.008894594388305432,0.004625
5217,5376,0.008895446085110545,0.0046875
15987,15655,0.008899419239581376,0.00475
27,27,0.008900957872234794,0.0048125
11746,11868,0.00891237504802748,0.004875
6895,7037,0.008914447320723504,0.0049375
15252,15342,0.008930478810158606,0.005
2828,2950,0.008932410591703525,0.0050625
11752,11852,0.008937670521333978,0.005125
8123,8226,0.008946313981999134,0.0051875
303,303,0.008951372606303062,0.00525
298,360,0.00896741784095969,0.0053125
845,955,0.00898192077210811,0.005375
23,38,0.00898327264920691,0.0054375
1883,2010,0.008991111296839716,0.0055
12175,12300,0.009001831114327702,0.0055625
8042,8146,0.009010715505815748,0.005625
29,62,0.009046119079693403,0.0056875
131,10,0.009047042555863727,0.00575
15676,15765,0.009068060236747975,0.0058125
350,430,0.009080242576817133,0.005875
12093,12188,0.009081365229113108,0.0059375
32,45,0.00908840609201973,0.006
7085,7209,0.009092484317500515,0.0060625
2714,2790,0.009095987851494307,0.006125
15970,15625,0.009099796511790685,0.0061875
139,138,0.009100477269173301,0.00625
295,287,0.009103875867305912,0.0063125
871,948,0.009104350519011286,0.006375
376,355,0.009106886660386056,0.0064375
11845,11884,0.009111589249893822,0.0065
47,43,0.009126541067178532,0.0065625
311,307,0.00913620753586335,0.006625
7443,7503,0.009151067492470738,0.0066875
12057,12127,0.00915791925235883,0.00675
1681,1823,0.009176812706060192,0.0068125
12142,12172,0.009178462061379296,0.006875
15942,15987,0.0091809492304899,0.0069375
814,908,0.009188164449242737,0.007
7400,7551,0.009191777802671348,0.0070625
271,282,0.009196763085892262,0.007125
108,158,0.009211102794861155,0.0071875
12119,12223,0.009221407459747285,0.00725
30,4,0.009224307985553393,0.0073125
151,202,0.009225243582349888,0.007375
2811,2934,0.009225578223255442,0.0074375
12976,13121,0.009231689369237756,0.0075
172,238,0.009236832763214178,0.0075625
12830,12929,0.00924306188914214,0.007625
147,90,0.009247995610538275,0.0076875
