,Request Id,request_scheduling_delay,cdf
0,5,0.0,6.25e-05
1,8,0.0,0.000125
4,3,0.0,0.0001875
5,13,0.0,0.00025
10,7,0.0,0.0003125
13,11,0.0,0.000375
32,15,0.0,0.0004375
64,14,0.0,0.0005
66,4,0.0,0.0005625
72,12,0.0,0.000625
85,6,0.0,0.0006875
89,2,0.0,0.00075
108,1,0.0,0.0008125
261,10,0.0,0.000875
287,0,0.0,0.0009375
853,9,0.0,0.001
280,220,1.7753448462443089e-06,0.0010625
57,29,2.5628063706373272e-05,0.001125
1447,1728,3.5704389901525246e-05,0.0011875
253,430,4.436229050153173e-05,0.00125
2996,3306,4.542954634700891e-05,0.0013125
171,212,5.304378769022122e-05,0.001375
41,78,7.021330067147336e-05,0.0014375
201,239,0.00012253801826744848,0.0015
555,611,0.0001456985227950014,0.0015625
137,172,0.00014996447487458653,0.001625
188,298,0.00020385773965436726,0.0016875
1253,940,0.00021293178640036103,0.00175
314,227,0.00026143487578966784,0.0018125
349,547,0.0002636929435730906,0.001875
301,186,0.0002749872032552503,0.0019375
557,702,0.00030838826235601857,0.002
38,89,0.00032542652562361774,0.0020625
564,649,0.0003408032412934858,0.002125
138,40,0.0003570847583508341,0.0021875
708,715,0.00036548410154146893,0.00225
195,314,0.00038536795918808764,0.0023125
255,280,0.0003931150265450434,0.002375
271,371,0.000441890171100745,0.0024375
1038,1080,0.00046130070247230037,0.0025
75,21,0.00047240941568157946,0.0025625
1006,965,0.0005741562529930633,0.002625
172,182,0.0005952623143601343,0.0026875
45,94,0.0005972937885350138,0.00275
871,866,0.000602076459484735,0.0028125
103,166,0.0006029186142271215,0.002875
288,188,0.0006159002908949773,0.0029375
33,35,0.0006691635990989653,0.003
623,121,0.00074501194336829,0.0030625
251,339,0.0007586416093605663,0.003125
1204,85,0.0007720320594866159,0.0031875
47,108,0.0007884430492541838,0.00325
467,476,0.0007949468945431803,0.0033125
186,164,0.0007991534054343497,0.003375
650,683,0.0008061212383694283,0.0034375
3817,563,0.0008563950168110068,0.0035
624,766,0.0008597700489332283,0.0035625
838,944,0.000880063740643422,0.003625
561,320,0.0008884244229019345,0.0036875
341,341,0.0008886259086988701,0.00375
3293,223,0.0008897481153065101,0.0038125
2804,3172,0.0009039222328084406,0.003875
746,875,0.0009100374667170286,0.0039375
306,304,0.000980113943263028,0.004
107,47,0.001058100457074329,0.0040625
119,211,0.0010816343165482856,0.004125
118,137,0.001083611273516416,0.0041875
653,725,0.001086457893535453,0.00425
351,363,0.0011049125414093197,0.0043125
410,524,0.001130054819181936,0.004375
46,27,0.0011585908005979917,0.0044375
5800,590,0.0011668336651489142,0.0045
549,583,0.001178038250216673,0.0045625
16,17,0.0011798483924936043,0.004625
272,242,0.0011900070992205691,0.0046875
337,462,0.0012231822530424097,0.00475
249,360,0.0012321758547635397,0.0048125
48,116,0.0012672428283486692,0.004875
342,364,0.0012684902014505894,0.0049375
98,222,0.001296087017174763,0.005
1148,1221,0.001312373159457536,0.0050625
2,25,0.001327344066585634,0.005125
598,698,0.001408928766116091,0.0051875
922,1136,0.0014375293879780315,0.00525
141,254,0.0014531207053711803,0.0053125
796,893,0.0014913339259710057,0.005375
698,912,0.0015315958154467069,0.0054375
942,1130,0.0015543310667300858,0.0055
254,266,0.0015629251768380925,0.0055625
203,127,0.001566420908792221,0.005625
291,367,0.0015892420086052184,0.0056875
1778,606,0.0016084328858436692,0.00575
495,659,0.0016268261037275522,0.0058125
989,1025,0.001627606826916761,0.005875
738,347,0.0016640310412787684,0.0059375
278,272,0.0016709490774617919,0.006
504,665,0.001674513497819774,0.0060625
411,574,0.0016818526221804575,0.006125
508,691,0.0017542450547409771,0.0061875
1052,1125,0.0017691451386827595,0.00625
230,345,0.0017752783866642474,0.0063125
945,1004,0.001787093282521468,0.006375
39,110,0.001791953957749115,0.0064375
158,174,0.0018048863867408116,0.0065
58,71,0.001828746088028299,0.0065625
640,511,0.0018522417273363345,0.006625
2579,2772,0.0018725965293171498,0.0066875
111,98,0.0018745090319569613,0.00675
2933,3220,0.0018849274563166318,0.0068125
459,396,0.0018979376272643123,0.006875
881,990,0.0019097758989428115,0.0069375
404,331,0.001918100944368284,0.007
3508,1032,0.0019185850916549896,0.0070625
358,317,0.001961323722922792,0.007125
850,1003,0.0019654222757221618,0.0071875
967,1163,0.0019893510770447875,0.00725
129,141,0.0019905707154652674,0.0073125
102,22,0.002021623941080075,0.007375
532,558,0.002023083594884234,0.0074375
497,479,0.002064152063371516,0.0075
887,954,0.0020661010483067344,0.0075625
439,457,0.002089021764257737,0.007625
174,263,0.0021050638191701943,0.0076875
359,329,0.0021106211139159115,0.00775
82,44,0.00215071777524245,0.0078125
300,382,0.0021577112466371062,0.007875
1111,1149,0.002166889448044884,0.0079375
661,811,0.002205587468411707,0.008
161,104,0.0022327584680288393,0.0080625
374,429,0.0022495498269821113,0.008125
382,409,0.0022501614006751325,0.0081875
4450,337,0.0022735464696115315,0.00825
229,181,0.0022984226391487006,0.0083125
435,622,0.002300093360503297,0.008375
226,336,0.0023238650999815036,0.0084375
820,1000,0.002357250356281426,0.0085
986,1120,0.002385233002044629,0.0085625
61,92,0.0023893437584714405,0.008625
215,215,0.002414504870327683,0.0086875
1714,1949,0.0024405051348921347,0.00875
892,877,0.0024478242360039815,0.0088125
327,411,0.0024487052026618272,0.008875
81,135,0.0024639217388287005,0.0089375
220,301,0.0025084209703560845,0.009
92,113,0.0025310813905263796,0.0090625
331,403,0.002558620229083708,0.009125
1890,2216,0.0025641828684186407,0.0091875
773,685,0.0025674465867489005,0.00925
59,54,0.0025710878423461647,0.0093125
290,365,0.002601739373255363,0.009375
827,963,0.002602277382299789,0.0094375
619,442,0.0026118494379767654,0.0095
906,942,0.0026154752437665962,0.0095625
432,675,0.0026160228225577953,0.009625
835,974,0.0026224986263301275,0.0096875
632,330,0.0026559303691842118,0.00975
4474,48,0.002668940309702883,0.0098125
153,265,0.0027349971336922962,0.009875
309,327,0.002769570610003491,0.0099375
62,43,0.0027716011022553833,0.01
231,259,0.0028271765398391047,0.0100625
125,255,0.0028573949322900916,0.010125
685,703,0.002879227760919534,0.0101875
1197,917,0.0029497154641831003,0.01025
142,23,0.002970987074033399,0.0103125
313,354,0.0029880749113253557,0.010375
4111,846,0.0029925225204134875,0.0104375
3,20,0.002992638419240884,0.0105
219,309,0.002999573007771872,0.0105625
176,140,0.0030518885752106595,0.010625
93,60,0.003066928147330672,0.0106875
4046,39,0.0030814401143394177,0.01075
736,860,0.003132689547422629,0.0108125
531,575,0.0031485462429321487,0.010875
63,105,0.003157578631608704,0.0109375
786,803,0.0031753243475058923,0.011
688,859,0.003226764138288374,0.0110625
3070,2122,0.0032278639111638086,0.011125
754,952,0.003267185001066153,0.0111875
2366,234,0.0032698188817583684,0.01125
95,63,0.003283403280891939,0.0113125
949,872,0.0033162418941206084,0.011375
346,80,0.0033317118563966908,0.0114375
20,51,0.003335065388305525,0.0115
56,49,0.0033489805855770882,0.0115625
55,117,0.003384449379700838,0.011625
312,346,0.003428256829137055,0.0116875
9,32,0.0034399327318660466,0.01175
134,261,0.0034580797674004238,0.0118125
365,307,0.0034608061415877245,0.011875
