,Request Id,prefill_time_execution_plus_preemption,cdf
10406,2106,0.01920170395834475,6.25e-05
6218,1504,0.01977289474567101,0.000125
15041,4974,0.021627808362893575,0.0001875
10658,782,0.022158546272379454,0.00025
4807,3500,0.02226033274934025,0.0003125
6551,187,0.023056883328353095,0.000375
13985,3716,0.02314643469554767,0.0004375
14851,9274,0.02321816100408114,0.0005
12572,2498,0.02479687455883095,0.0005625
12407,2467,0.02496123857929433,0.000625
3432,3467,0.025566956003217456,0.0006875
10689,435,0.025750412555883173,0.00075
2854,707,0.02579722287578079,0.0008125
13811,5957,0.02583692453504227,0.000875
9865,3230,0.0258744316302284,0.0009375
8987,487,0.02593928813589841,0.001
8672,6559,0.026020404922348916,0.0010625
15906,10164,0.02602040492240576,0.001125
15481,4147,0.02628357538944215,0.0011875
15933,13258,0.026302040122345716,0.00125
15858,15476,0.02634153452231658,0.0013125
15878,13910,0.02634153452231658,0.001375
6165,651,0.026358139320286966,0.0014375
15958,12383,0.026540330075704333,0.0015
11055,5615,0.026543115929371197,0.0015625
11351,2976,0.026611195515130248,0.001625
10366,3141,0.026677390907366316,0.0016875
10770,8454,0.02667918152940274,0.00175
11392,590,0.026694294875778013,0.0018125
11761,1441,0.02680020812233863,0.001875
15879,11422,0.026824751129311153,0.0019375
6196,4634,0.026824751129339575,0.002
12551,6213,0.026824751129367996,0.0020625
12838,9194,0.026824751129367996,0.002125
14498,7281,0.026824751129367996,0.0021875
15874,12436,0.026864245529282016,0.00225
11527,5372,0.026864245529395703,0.0023125
15761,6278,0.026864245529395703,0.002375
15807,7000,0.026864245529395703,0.0024375
11367,8032,0.026943875951872087,0.0025
15123,10927,0.02701878631899035,0.0025625
15245,9982,0.02701878631899035,0.002625
15820,8657,0.02701878631899035,0.0026875
8826,4327,0.027018786319018773,0.00275
15427,8724,0.02702649119282796,0.0028125
12058,4543,0.02704166360396698,0.002875
15947,13954,0.027058280718961214,0.0029375
15846,9225,0.027058280719018057,0.003
15928,12133,0.027092552729300223,0.0030625
15781,6846,0.027153581252662207,0.003125
13231,3325,0.027232035381359765,0.0031875
13494,3387,0.027232035381359765,0.00325
11748,4525,0.02727799610835291,0.0033125
