,Request Id,request_execution_time_normalized,cdf
15997,15877,0.0207115929941871,6.25e-05
15984,15991,0.020972216682232512,0.000125
15981,15661,0.02106848007738975,0.0001875
15988,15656,0.02115088719319916,0.00025
15939,15978,0.021169495266465325,0.0003125
15950,15971,0.021211050066351208,0.000375
15976,15550,0.021222650005968575,0.0004375
15963,15872,0.021228324372936543,0.0005
15964,15804,0.021272152610649814,0.0005625
15989,15647,0.021314868585012834,0.000625
15970,15584,0.021425381188441915,0.0006875
15908,15773,0.021471175427957456,0.00075
15952,15449,0.021500977898366764,0.0008125
15945,15473,0.021560828051845674,0.000875
15954,15655,0.021671321868465182,0.0009375
15891,15625,0.021853563670227956,0.001
15822,15771,0.0229255211395711,0.0010625
15765,15781,0.023463495718818683,0.001125
15779,15754,0.023571283103467924,0.0011875
15999,15288,0.023666587305096347,0.00125
15995,15364,0.023704300926348957,0.0013125
15992,15414,0.023793646394680658,0.001375
15767,15649,0.023938511310398047,0.0014375
9,30,0.024012388705559648,0.0015
15766,15912,0.024093330318958796,0.0015625
15770,15529,0.024105904263371312,0.001625
15993,15055,0.024330335812359716,0.0016875
15996,14774,0.02435669292355126,0.00175
3,5,0.024383250045278675,0.0018125
15994,14807,0.02454605342425957,0.001875
15998,14577,0.024617568794936748,0.0019375
17,46,0.024683199492263348,0.002
15990,14526,0.024823533768842707,0.0020625
26,38,0.024900508313389486,0.002125
15986,14786,0.024907051323550585,0.0021875
15987,14510,0.024973158027081367,0.00225
15979,14911,0.025037264664434386,0.0023125
15991,14187,0.025111279385982142,0.002375
15747,15832,0.025252903501627177,0.0024375
14,34,0.025282417237930534,0.0025
15748,15469,0.02534043701055493,0.0025625
12,95,0.02536879419379807,0.002625
15980,14615,0.02541357252194666,0.0026875
15977,15005,0.0254195743691972,0.00275
5,58,0.02564173767161862,0.0028125
15960,14883,0.025666106525344044,0.002875
15968,14763,0.025720763128621607,0.0029375
22,62,0.025732074186125106,0.003
30,7,0.025751499672438654,0.0030625
54,26,0.02583233702683653,0.003125
15982,14237,0.02583591260524283,0.0031875
15978,13866,0.025860490503306785,0.00325
15721,15988,0.025985128713801417,0.0033125
15728,15878,0.02603897438787854,0.003375
15983,14025,0.026063665334913978,0.0034375
43,78,0.026069281740531546,0.0035
10,154,0.026076720844348797,0.0035625
15985,13949,0.0260773513275641,0.003625
15975,13596,0.026157449820926715,0.0036875
15962,14132,0.026214962971183933,0.00375
15965,14006,0.026231710856524034,0.0038125
15974,13567,0.026277344651287404,0.003875
15725,15934,0.026282587864528237,0.0039375
15971,13784,0.026321323135685245,0.004
15972,14193,0.02633098293144473,0.0040625
15973,13290,0.026370331967078928,0.004125
15,74,0.026446542951717656,0.0041875
15957,14509,0.0264623260467527,0.00425
15955,13986,0.026489072318798955,0.0043125
15720,15778,0.026490111884190638,0.004375
6,131,0.026509250992675145,0.0044375
58,66,0.02651839156959475,0.0045
