,Request Id,request_scheduling_delay,cdf
4,3,0.0,6.25e-05
12,5,0.0,0.000125
99,7,0.0,0.0001875
673,4,0.0,0.00025
677,2,0.0,0.0003125
815,6,0.0,0.000375
1023,1,0.0,0.0004375
1847,0,0.0,0.0005
597,216,1.1842310487786278e-05,0.0005625
22,211,0.00013400684106290583,0.000625
461,762,0.00021128652990043406,0.0006875
366,952,0.00023107140368949786,0.00075
9353,925,0.00031654933159330767,0.0008125
439,203,0.0004684179981717662,0.000875
2021,755,0.0004853330167122749,0.0009375
425,111,0.0005389545397762596,0.001
905,322,0.0005729229602273733,0.0010625
1072,355,0.001181828309260169,0.001125
342,769,0.0015305962580711707,0.0011875
601,1050,0.0015446236754641518,0.00125
229,259,0.0016601174956107911,0.0013125
395,311,0.0018950367027414927,0.001375
884,391,0.0020594965568836443,0.0014375
631,928,0.002168967049698267,0.0015
404,327,0.0023216967751213957,0.0015625
11762,988,0.00244167845127663,0.001625
665,329,0.003068961020469274,0.0016875
990,804,0.0031944641451069344,0.00175
363,340,0.003317058305340126,0.0018125
589,335,0.003537196306844237,0.001875
891,794,0.003680336987642363,0.0019375
299,109,0.0036880301826860418,0.002
325,943,0.0037035219809880005,0.0020625
8454,651,0.0037079607076897503,0.002125
498,963,0.0037116245617667687,0.0021875
3,42,0.0037287350968810973,0.00225
761,795,0.003918922779508449,0.0023125
1002,683,0.0041815525285962,0.002375
865,959,0.004216746408246763,0.0024375
360,143,0.004260214616730984,0.0025
17,123,0.004597139997747135,0.0025625
582,964,0.004598332042320408,0.002625
934,799,0.004694400818696209,0.0026875
744,681,0.004709916134487457,0.00275
85,265,0.004712747986699739,0.0028125
95,352,0.004735864585505567,0.002875
455,679,0.004806048440070043,0.0029375
1779,139,0.004850103292147523,0.003
318,359,0.004857984559636819,0.0030625
1157,587,0.004900376252361838,0.003125
762,831,0.005085990636548132,0.0031875
718,953,0.005185604857608439,0.00325
726,331,0.005263487235673381,0.0033125
654,752,0.0056924430392193415,0.003375
178,202,0.006008985243629361,0.0034375
1006,572,0.006229799422264648,0.0035
2242,950,0.006348751330129687,0.0035625
463,308,0.006427105738003647,0.003625
807,323,0.006435704226506189,0.0036875
70,243,0.006514565753656498,0.00375
424,341,0.006564906667746229,0.0038125
644,746,0.006693359765360896,0.003875
304,567,0.006719906732353564,0.0039375
820,930,0.0068693092930658395,0.004
450,800,0.006933113508779343,0.0040625
1447,195,0.00699233511697539,0.004125
